"annotation_id","annotator","api_consensus_label","codex_suggested_label","combined_text","created_at","dataset","dispute_reason","filing_date","finbert_confidence","finbert_label","id","label","lead_time","original_label","paragraph_id","review_rank","risk_heading","risk_section","ticker","updated_at"
2976,"1","Corporate Governance","Non-ESG","REGULATORY RISKS
APS must comply in good faith with all applicable statutes, regulations, rules, tariffs, and orders of agencies that regulate APS’s business, including FERC, NRC, EPA, the ACC, and state and local governmental agencies. These agencies regulate many aspects of APS’s utility operations, including safety and performance, emissions, siting and construction of facilities, customer service and the rates that APS can charge retail and wholesale customers. Failure to comply can subject APS to, among other things, fines and penalties. For example, under the Energy Policy Act of 2005, FERC can impose penalties (approximately $1.2 million per day per violation) for failure to comply with mandatory electric reliability standards. APS is also required to have numerous permits, approvals and certificates from these agencies. APS believes the necessary permits, approvals and certificates have been obtained for its existing operations and that APS’s business is conducted in accordance with applicable laws in all material respects. Changes in laws or regulations that govern APS, new interpretations of law and regulations, or the imposition of new or revised laws or regulations could have an adverse impact on the manner in which we operate our business and our results of operations. In particular, new or revised laws or interpretations of existing laws or regulations may impact or call into question the ACC’s permissive regulatory authority, which may result in uncertainty as to jurisdictional authority within our state, and uncertainty as to whether ACC decisions will be binding or challenged by other agencies or bodies asserting jurisdiction. In November 2021, the Arizona Court of Appeals issued an opinion that called into question the ACC-approved limitation of liability provision found in the APS Service Schedules.","2026-06-27T06:59:59.655562Z","chiang","一般法規遵循為主，未明確落在倫理或公司治理核心定義。","2022-02-25",0.3936,"Business Ethics & Values",1481,"Non-ESG",56.161,"Business Ethics & Values","PNW_2022_RISK_004",1,"REGULATORY RISKS","REGULATORY RISKS","PNW","2026-06-27T06:59:59.655571Z"
2977,"1","Business Ethics & Values","Product Liability","Risks relating to estimates, assumptions and valuations
It requires financial professionals to act in consumers’ best interest when giving personalized investment advice. Notwithstanding the SEC’s Reg BI, which went into effect in 2020, some states may still consider changes to their own insurance and securities laws and/or regulations. In 2020, Massachusetts promulgated regulations imposing a fiduciary duty on broker-dealers and agents and the NAIC adopted best interest enhancements to its existing annuity suitability model. A number of states have adopted the updated NAIC model and many more are poised to take steps in that direction in 2022. Related state fiduciary or “best interest” legislation and/or regulation could occur in 2022.","2026-06-27T07:01:16.627630Z","chiang","消費者最佳利益屬消費者金融保護，但也涉及受託義務。","2022-02-11",0.6801,"Business Ethics & Values",1482,"Product Liability",76.431,"Product Liability","PFG_2022_RISK_033",2,"Risks relating to estimates, assumptions and valuations","Summary of Risk Factors","PFG","2026-06-27T07:01:16.627639Z"
2978,"1","Product Liability","Product Liability","Legal and Regulatory Risks
The Company’s operations are subject to the general risks of litigation. The Company is involved on an ongoing basis in litigation arising in the ordinary course of business. Trends in litigation may include class actions involving employees, consumers, competitors, suppliers, shareholders, or others, and claims relating to product liability, contract disputes, antitrust regulations, intellectual property, advertising, labeling, wage and hour laws, employment practices or environmental matters. Neither litigation trends nor the outcomes of litigation can be predicted with certainty and adverse litigation trends and outcomes could negatively affect the Company’s financial results. Government regulation, present and future, exposes the Company to potential sanctions and compliance costs that could adversely affect the Company’s business. The Company’s operations are subject to extensive regulation by the U.S. Department of Homeland Security, the U.S. Department of Agriculture, the U.S. Food and Drug Administration, federal and state taxing authorities and other federal, state, and local authorities which oversee workforce immigration, taxation, animal welfare, food safety, and the processing, packaging, storage, distribution, advertising, and labeling of the Company’s products. The Company’s manufacturing facilities and products are subject to ongoing inspection by federal, state and local authorities. Claims or enforcement proceedings could be brought against the Company in the future. The availability of government inspectors due to a government furlough could also cause disruption to the Company’s manufacturing facilities. Additionally, the Company is subject to new or modified laws, regulations, and accounting standards. The Company’s failure or inability to comply with such requirements could subject the Company to civil remedies, including fines, injunctions, recalls or seizures, as well as potential criminal sanctions.","2026-06-27T07:01:29.919402Z","chiang","內容混合法律訴訟、食品安全、標示與勞動議題，主題不單一。","2021-12-10",0.8906,"Business Ethics & Values",1483,"Product Liability",12.693,"Business Ethics & Values","HRL_2021_RISK_014",3,"Legal and Regulatory Risks","Legal and Regulatory Risks","HRL","2026-06-27T07:01:29.919412Z"
2979,"1","Corporate Governance","Corporate Governance","Risks Related to the Operating Partnership’s Organization and Ownership of OP Units
In certain circumstances, certain of the Operating Partnership’s unitholders must approve the Operating Partnership’s sale of certain properties contributed by the unitholders.","2026-06-27T07:01:35.480955Z","chiang","單位持有人對資產出售的核准權直接涉及所有權治理。","2022-02-17",0.8895,"Non-ESG",1484,"Corporate Governance",4.893,"Non-ESG","MAA_2022_RISK_078",4,"Risks Related to the Operating Partnership’s Organization and Ownership of OP Units","Tennessee Anti-Takeover Statutes","MAA","2026-06-27T07:01:35.480966Z"
2980,"1","Corporate Governance","Business Ethics & Values","Risks Associated with our Macau Operations
Conflicts of interest may arise because certain of our directors and officers are also directors of Wynn Macau, Limited.","2026-06-27T07:02:04.662199Z","chiang","董事兼任造成利益衝突，同時符合倫理與治理邊界。","2022-02-28",0.7181,"Business Ethics & Values",1485,"Business Ethics & Values",28.593,"Business Ethics & Values","WYNN_2022_RISK_085",5,"Risks Associated with our Macau Operations","Risks Associated with our Macau Operations","WYNN","2026-06-27T07:02:04.662209Z"
2981,"1","Business Ethics & Values","Business Ethics & Values","We are subject to a variety of operational risks.
In addition to the other risks discussed in this section, we are subject to operational risk, which represents the risk of loss resulting from human error, inadequate or failed internal processes, internal controls, systems, and external events. Operational risk includes the risk of fraud by employees or others outside of Key, clerical and record-keeping errors, nonperformance by vendors, threats from cyber activity, and computer/telecommunications malfunctions. Fraudulent activity has escalated, become more sophisticated, and is ever evolving as there are more options to access financial services. For instance, in our Form 8-K filed July 16, 2019, we disclosed that on or about July 9, 2019, we discovered fraudulent activity associated with transactions conducted in the third quarter of 2019 by a business customer of KeyBank.  This fraudulent activity resulted in $139 million of net loan charge-offs in 2019. Operational risk also encompasses compliance and legal risk, which is the risk of loss from violations of, or noncompliance with, laws, rules, regulations, prescribed practices, or ethical standards, as well as the risk of our noncompliance with contractual and other obligations. We are also exposed to operational risk through our outsourcing arrangements, and the effect that changes in circumstances or capabilities of our outsourcing vendors can have on our ability to continue to perform operational functions necessary to our business, such as certain loan processing functions. For example, breakdowns or failures of our vendors’ systems or employees could be a source of operational risk to us. Resulting losses from operational risk could take the form of explicit charges, increased operational costs (including remediation costs), harm to our reputation, inability to secure insurance, litigation, regulatory intervention or sanctions, or foregone business opportunities.","2026-06-27T07:02:08.133377Z","chiang","段落明確包含詐欺、內控失效與違反倫理標準。","2022-02-22",0.5053,"Business Ethics & Values",1486,"Business Ethics & Values",3.002,"Non-ESG","KEY_2022_RISK_013",6,"We are subject to a variety of operational risks.","III.  Operational Risk","KEY","2026-06-27T07:02:08.133385Z"
2982,"1","Human Capital","Human Capital","The loss of the services of Mr. Ralph Lauren or any other changes to our executive and senior management team may be disruptive to, or cause uncertainty in, our business.
Mr. Ralph Lauren's leadership in the design and marketing areas of our business has been a critical element of our success since the inception of our Company. Mr. R. Lauren is instrumental to, and closely identified with, our brand that bears his name. Our ability to maintain our brand image and leverage the goodwill associated with Mr. R. Lauren's name may be damaged if we were to lose his services. The death or disability of Mr. R. Lauren or other extended or permanent loss of his services, or any negative market or industry perception with respect to him or arising from his loss, could have a material adverse effect on our business. We also depend on the service and management experience of other key executive officers and members of senior management who have substantial experience and expertise in our industry and our business and have made significant contributions to our growth and success. Competition in our industry to attract and retain these employees is intense and is influenced by our reputation, our ability to offer competitive compensation and benefits, and economic conditions, among other factors. Any changes in our executive and senior management team, including those resulting from our restructuring actions, may be disruptive to, or cause uncertainty in, our business and future strategic direction. The departure of any key individuals and the failure to ensure a smooth transition and effective transfer of knowledge involving senior employees could hinder or delay our strategic planning and execution, as well as adversely affect our ability to attract and retain other experienced and talented employees. Such departures could also impede our ability to maintain an effective system of internal controls and compliance with the requirements under the Sarbanes-Oxley Act of 2002. Any such disruptions could have a material adverse impact on our business.","2026-06-27T07:02:20.031838Z","chiang","核心是關鍵高階人員流失、招募與留任。","2021-05-20",0.9694,"Corporate Governance",1487,"Human Capital",11.244,"Corporate Governance","RL_2021_RISK_018",7,"The loss of the services of Mr. Ralph Lauren or any other changes to our executive and senior management team may be disruptive to, or cause uncertainty in, our business.","Risks Related to our Business and Operations","RL","2026-06-27T07:02:20.031849Z"
2983,"1","Corporate Governance","Corporate Governance","INFORMATION ABOUT OUR EXECUTIVE OFFICERS
The following description of our executive officers is included as an unnumbered item in this Part I of this Annual Report in lieu of being included in our definitive proxy statement for our annual meeting of stockholders. Set forth below are the name, age, present title, and certain other information for each of our executive officers as of the filing date of this Annual Report. Each executive officer is appointed by our board of directors and holds his or her office until the earlier of his or her death, resignation, retirement, disqualification or removal.","2026-06-27T07:02:26.092088Z","chiang","高階主管由董事會任命，較接近治理資訊。","2021-11-19",0.9932,"Corporate Governance",1488,"Corporate Governance",5.446,"Non-ESG","BEN_2021_RISK_075",8,"INFORMATION ABOUT OUR EXECUTIVE OFFICERS","INFORMATION ABOUT OUR EXECUTIVE OFFICERS","BEN","2026-06-27T07:02:26.092097Z"
2984,"1","Product Liability","Product Liability","Business and Operational Risks
In addition, quality issues can impair our relationships with new or existing customers and adversely affect our brand and reputation, which could, in turn, adversely affect our results of operations.","2026-06-27T07:02:32.607514Z","chiang","產品品質影響客戶與品牌，符合產品品質風險。","2022-12-08",0.9817,"Non-ESG",1489,"Product Liability",5.895,"Non-ESG","HPE_2022_RISK_031",9,"Business and Operational Risks","Business and Operational Risks","HPE","2026-06-27T07:02:32.607524Z"
2985,"1","Product Liability","Product Liability","Risks Related to Our Business and Operations
Our Company’s reputation or brand image might be impacted as a result of issues or concerns relating to the quality and safety of our products, ingredients or packaging, human and workplace rights, and other environmental, social or governance matters, which in turn could result in litigation or otherwise negatively impact our operating results.","2026-06-27T07:02:34.914278Z","chiang","產品、原料與包裝品質安全是主要具體風險。","2022-02-18",0.5409,"Non-ESG",1490,"Product Liability",1.694,"Non-ESG","HSY_2022_RISK_006",10,"Risks Related to Our Business and Operations","Risks Related to Our Business and Operations","HSY","2026-06-27T07:02:34.914287Z"
2986,"1","Product Liability","Product Liability","Risks Related to Development, Clinical Testing and Regulation of Our Products and Product Candidates
Clinical trials and the development of biopharmaceutical products is a lengthy and complex process. If we fail to adequately manage our clinical activities, our clinical trials or potential regulatory approvals may be delayed or denied.","2026-06-27T07:02:36.879878Z","chiang","臨床試驗管理與產品核准屬產品品質／安全邊界。","2022-02-03",0.9805,"Non-ESG",1491,"Product Liability",1.317,"Non-ESG","BIIB_2022_RISK_101",11,"Risks Related to Development, Clinical Testing and Regulation of Our Products and Product Candidates","Risks Related to Intellectual Property","BIIB","2026-06-27T07:02:36.879888Z"
2987,"1","Non-ESG","Non-ESG","RESEARCH AND DEVELOPMENT
R&D is at the heart of fulfilling our purpose to deliver breakthroughs that change patients’ lives as we work to translate advanced science and technologies into the therapies that may be the most impactful for patients. The discovery and development of drugs, vaccines and biological products are time consuming, costly and unpredictable. In addition to discovering and developing new products, our R&D efforts seek to add value to our existing products by improving their effectiveness and ease of dosing and by discovering potential new indications. Our R&D Priorities and Strategy. Our R&D priorities include:•delivering a pipeline of highly differentiated medicines and vaccines where we have a unique opportunity to bring the most important new therapies to patients in need;•advancing our capabilities that can position us for long-term R&D leadership; and•advancing new models for partnerships with creativity, flexibility and urgency to deliver innovation to patients as quickly as possible. To that end, our R&D primarily focuses on our main therapeutic areas. While a significant portion of our R&D is internal, we also seek promising chemical and biological lead molecules and innovative technologies developed by others to incorporate into our discovery and development processes or projects, as well as our product lines. We do so by entering into collaboration, alliance and license agreements with universities, biotechnology companies and other firms as well as through acquisitions and investments. These collaboration, alliance and license agreements and investments allow us to share knowledge, risk and cost. They also enable us to access external scientific and technological expertise, as well as provide us the opportunity to advance our own products and in-licensed or acquired products. For information on certain of these collaborations, alliances and license arrangements and investments, see Note 2. Our R&D Operations.","2026-06-27T07:02:40.484313Z","chiang","主要是研發策略與合作模式，未聚焦產品安全或責任。","2022-02-24",0.475,"Non-ESG",1492,"Non-ESG",3.093,"Product Liability","PFE_2022_RISK_008",12,"RESEARCH AND DEVELOPMENT","RESEARCH AND DEVELOPMENT","PFE","2026-06-27T07:02:40.484324Z"
2988,"1","Non-ESG","Non-ESG","Regulatory, Legislative and Legal
The Company is subject to the jurisdiction of various regulatory agencies, including the STB, FRA, PHMSA, TSA, EPA and other state, provincial and federal regulatory agencies for a variety of economic, health, safety, labor, environmental, tax, legal and other matters. New or modified rules or regulations by these agencies could increase the Company's operating costs, adversely impact revenue or reduce operating efficiencies and affect service performance. Noncompliance with applicable laws or regulations could erode public confidence in the Company and can subject the Company to fines, penalties and other legal or regulatory sanctions.","2026-06-27T07:02:43.402875Z","chiang","廣泛法規變動與營運成本，缺乏明確倫理行為。","2022-02-16",0.7593,"Business Ethics & Values",1493,"Non-ESG",2.332,"Business Ethics & Values","CSX_2022_RISK_004",13,"Regulatory, Legislative and Legal","Regulatory, Legislative and Legal","CSX","2026-06-27T07:02:43.402884Z"
2989,"1","Non-ESG","Non-ESG","Legal Regulations and Compliance Risks
Agricultural production and trade flows are subject to government policies, mandates, regulations, and trade agreements, including taxes, tariffs, duties, subsidies, incentives, foreign exchange rates, and import and export restrictions, including policies related to genetically modified organisms, traceability standards, sustainable practices, product safety and labeling, renewable fuels, and low carbon fuel mandates. These policies can influence the planting of certain crops; the location and size of crop production; whether unprocessed or processed commodity products are traded; the volume and types of imports and exports; the availability and competitiveness of feedstocks as raw materials; the viability and volume of production of certain of the Company’s products; and industry profitability. For example, changes in government policies or regulations of ethanol and biodiesel including, but not limited to, changes in the Renewable Fuel Standard program under the Energy Independence and Security Act of 2007 in the United States, including the treatment of small refinery exemptions, can have an impact on the Company’s operating results. International trade regulations can adversely affect agricultural commodity trade flows by limiting or disrupting trade between countries or regions. Regulations of financial markets and instruments, including the Dodd-Frank Act, Consumer Protection Act, and the European Market Infrastructure Regulation, create uncertainty and may lead to additional risks and costs, and could adversely affect the Company’s futures commission merchant business and its agricultural commodity risk management practices. Future government policies may adversely affect the supply of, demand for, and prices of the Company’s products; adversely affect the Company’s ability to deploy adequate hedging programs; restrict the Company’s ability to do business in its existing and target markets; and adversely affect the Company’s revenues and operating results.","2026-06-27T07:02:47.377805Z","chiang","低碳燃料只占廣泛農業與貿易政策的一部分，主題是否以氣候為主有疑義。","2022-02-17",0.752,"Climate Change",1494,"Non-ESG",3.415,"Climate Change","ADM_2022_RISK_015",14,"Legal Regulations and Compliance Risks","Legal Regulations and Compliance Risks","ADM","2026-06-27T07:02:47.377813Z"
2990,"1","Business Ethics & Values","Non-ESG","Legal and Regulatory Risks
Changes to these and other areas in relation to international tax reform, including future actions taken by foreign governments in response to the Tax Act, could increase uncertainty and may adversely affect our tax rate and cash flow in future years. Our income and non-income tax filings are subject to review or audit by the Internal Revenue Service and state, local and foreign taxing authorities. We exercise significant judgment in determining our worldwide provision for income taxes and, in the ordinary course of our business, there may be transactions and calculations where the ultimate tax determination is uncertain. We may also be liable for potential tax liabilities of businesses we acquire, including future taxes payable related to the transition tax on earnings from their foreign operations, if any, under the Tax Act. Although we believe our tax estimates are reasonable, the final determination in an audit may be materially different than the treatment reflected in our historical income tax provisions and accruals. An assessment of additional taxes because of an audit could adversely affect our income tax provision and net income in the periods for which that determination is made. In July 2017, the Hungarian Tax Authority (HTA) issued a final assessment against our Hungarian subsidiary (Synopsys Hungary) for fiscal years 2011 through 2013. The HTA has applied withholding taxes on certain payments made to affiliates, resulting in an aggregate tax assessment of approximately $25.0 million and interest and penalties of $11.0 million. We paid the tax assessments, penalties and interest in the first quarter of fiscal 2018 as required by law and recorded these amounts as prepaid taxes on our balance sheet. On April 30, 2019, the Hungarian Administrative Court (the Administrative Court) ruled against Synopsys Hungary. We filed an appeal with the Hungarian Supreme Court on July 5, 2019.","2026-06-27T07:03:08.339575Z","chiang","稅務估計與稅務稽核通常屬一般財稅風險。","2021-12-13",0.929,"Non-ESG",1495,"Business Ethics & Values",38.356,"Non-ESG","SNPS_2021_RISK_054",15,"Legal and Regulatory Risks","Legal and Regulatory Risks","SNPS","2026-06-27T07:03:29.786948Z"
2991,"1","Product Liability","Product Liability","The COVID-19 pandemic has subjected our business, operations and financial condition to a number of risks, and those risks may intensify or last for an extended period of time.
This expanded risk increases the complexity of our business and places significant responsibility on our management, employees, operations, systems, technical expertise, financial resources, and internal financial and regulatory control and reporting functions. In addition, new initiatives we test through trials and pilots may not scale or grow effectively or as we expected, which could limit our growth and negatively affect our operating results. They may also involve significant laws or regulations that are beyond our current expertise. In fiscal 2021 we continued to invest in our health strategy and our underlying purpose to enrich lives through technology. The new health-related services offered might expose us to liability risk resulting from failures in the fulfillment of these services. In addition, the services and systems used could expose us to customer data privacy and information security risks, as well as business or system interruption risks. These and other related issues could have a material adverse impact on our financial results. Our focus on services as a strategic priority exposes us to certain risks that could have a material adverse impact on our revenue and profitability as well as our reputation. We offer a full range of services that complement our product offerings, including consultation, delivery, design, installation, memberships, protection plans, repair, set-up, technical support, and health, safety and caregiving monitoring and support. Designing, marketing and executing these services is subject to incremental risks.","2026-06-27T07:03:51.919308Z","chiang","健康服務責任、客戶隱私與資訊安全均指向產品責任。","2021-03-19",0.8457,"Product Liability",1496,"Product Liability",9.343,"Community Relations","BBY_2021_RISK_011",16,"The COVID-19 pandemic has subjected our business, operations and financial condition to a number of risks, and those risks may intensify or last for an extended period of time.","External Risks","BBY","2026-06-27T07:03:51.919319Z"
2992,"1","Non-ESG","Non-ESG","RISKS RELATED TO OUR BUSINESS
Our growth strategy includes the pursuit of targeted inorganic growth opportunities that we believe will provide a strategic fit, leverage operational synergies, and lead to incremental earnings accretion. For example, in September 2023 we closed on our acquisition of My Choice Wisconsin and in January 2024 we closed on the acquisition of Bright Health Medicare. The integration of acquired businesses with our existing business is a complex, costly and time-consuming process. The success of acquisitions we make will depend, in part, on our ability to successfully combine our existing business with such acquired businesses and realize the anticipated benefits, including synergies, cost savings, growth in earnings, innovation, and operational efficiencies, from the combinations. If we are unable to achieve these objectives within the anticipated time frame, or at all, the anticipated benefits may not be fully realized, or may take longer to realize than expected.","2026-06-27T07:03:56.247406Z","chiang","併購整合與綜效實現是一般策略與營運風險。","2024-02-13",0.9702,"Non-ESG",1497,"Non-ESG",3.86,"Corporate Governance","MOH_2024_RISK_012",17,"RISKS RELATED TO OUR BUSINESS","RISKS RELATED TO OUR BUSINESS","MOH","2026-06-27T07:03:56.247416Z"
