"annotation_id","annotator","char_count","created_at","finbert_category","finbert_confidence","id","label","lead_time","paragraph_id","text","ticker","updated_at","year"
501,"1",1469,"2026-02-24T09:11:37.755767Z","Human Capital",0.9954,493,"Human Capital",4.78,"ALGN_2021_0004","We believe our strong operational performance in the second half of 2020 is directly attributable to that decision along with the exceptional efforts of our employees throughout the pandemic. Health and Safety
. Our employees are essential to us as a business and their health and well-being is critical to our success and their continuing achievements. We therefore offer a wide variety of robust programs and initiatives designed to promote the overall health and welfare of all our employees and their families. In addition to the compensation and benefits listed above, we offer family support services, healthcare initiatives, and career services support, among many others. In response to the COVID-19 pandemic and the impacts of remote working, we have encouraged employees to take time away from work to be with their families and implemented initiatives to promote better work-life balance. In addition, we have several health and safety programs in place to help protect our employees. For instance, we have training programs and courses that employees exposed to particular risks are required to take and update periodically. Examples include hazardous material training, emergency response and evacuation training, ergonomics training, biohazard and personal protective equipment training, and more recently COVID-19 related safety training. We also invest to ensure our facilities and equipment are safe by complying with OSHA or other statutory standards.","ALGN","2026-02-24T09:11:37.755777Z",2021
502,"1",1369,"2026-02-24T09:13:49.292681Z","Human Capital",0.9954,494,"Human Capital",131.269,"ALGN_2022_0008","We have honored this commitment throughout the pandemic. Health and Safety
. Our employees are essential to us as a business and their health and well-being is critical to our success and their continuing achievements. Our objective is to prevent injuries and occupational diseases by focusing first and foremost on creating and maintaining environments that are safe. We therefore offer a wide variety of robust programs and initiatives designed to promote the overall health and welfare of all our employees and their families. In addition to the compensation and benefits listed above, we offer family support services, healthcare initiatives and career services support, among many others. In response to the COVID-19 pandemic and the impacts of remote working, we have encouraged employees to take time away from work to be with their families and implemented initiatives to promote better work-life balance. In addition, we have several health and safety programs in place to help protect our employees. For instance, we have training programs and courses that employees exposed to particular risks are required to take and update periodically. Examples include hazardous material training, emergency response and evacuation training, ergonomics training, biohazard and personal protective equipment training, and, more recently, COVID-19 related safety training.","ALGN","2026-02-24T09:13:49.292690Z",2022
503,"1",705,"2026-02-24T09:13:52.702483Z","Human Capital",0.9954,495,"Human Capital",3.157,"CDNS_2024_0004","Health, Safety and Wellness

We strive to create a safe and rewarding environment to enable our employees to develop the innovations necessary for our sustained success. 
With the aim of providing for both the physical and mental health of our employees, we offer a variety of benefits that go beyond traditional health insurance. Our U.S. health and well-being benefits include fertility benefits, coverage for transgender employees undergoing medical treatment, expanded new parent leave, adoption and surrogacy benefits, financial planning and coaching services and legal services. We also provide training and tools for stress management, time management, conflict resolution and emotional well-being.","CDNS","2026-02-24T09:13:52.702494Z",2024
504,"1",1282,"2026-02-24T09:13:55.836261Z","Human Capital",0.9954,496,"Human Capital",2.891,"CPRT_2024_0058","The People and Culture team oversees performance management processes that help employees understand their goals and expectations. We facilitate regular performance discussions, feedback sessions, and goal setting to ensure alignment with our corporate objectives, driving a clear path to advancement. We prioritize the well-being and satisfaction of our employees. We organize various engagement initiatives, including team-building events, wellness programs, and recognition efforts to celebrate achievements and milestones. We are dedicated to maintaining a positive and inclusive work environment where every employee feels valued and supported. We provide comprehensive, generous benefits and compensation packages, ensuring that they remain competitive within the industry. We address inquiries about benefits, such as healthcare, retirement plans, and other rewards, to guarantee that our employees have access to the resources they need for a fulfilling work-life balance. Copart pays a sizable portion of the benefit premiums related to healthcare. Copart’s benefit plans are designed around health, financial security, life and education. These include a variety of medical plans, dental and vision coverage, and wellness programs in addition to external support networks.","CPRT","2026-02-24T09:13:55.836274Z",2024
505,"1",636,"2026-02-24T09:13:58.396999Z","Human Capital",0.9954,497,"Human Capital",2.311,"GNRC_2021_0074","Health, wellness and safety
 – Employee health and safety is the Company’s top priority. Generac’s Healthy & Thriving Total Rewards are based on the four pillars of balance, security, well-being and community. These programs are designed to meet the varied and evolving needs of our diverse workforce. We maintain an employee wellness program, incentivize healthy-living activities, provide emergency paid COVID-19 leave benefits to help employees care for themselves and their families, and we develop and administer company-wide policies to ensure the safety of each employee and compliance with government agency and other standards.","GNRC","2026-02-24T09:13:58.397008Z",2021
506,"1",648,"2026-02-24T09:14:00.778707Z","Human Capital",0.9954,498,"Human Capital",2.141,"GNRC_2022_0122","Health, wellness and safety
 – Employee health and safety is the Company’s top priority. Generac’s Healthy & Thriving Total Rewards are based on the four pillars of balance, security, well-being and community. These programs are designed to meet the varied and evolving needs of our diverse workforce. We maintain an employee wellness program, incentivize healthy-living activities, continue to provide emergency paid COVID-19 leave benefits to help employees care for themselves and their families, and we develop and administer company-wide policies to ensure the safety of each employee and compliance with government agency and other standards.","GNRC","2026-02-24T09:14:00.778716Z",2022
507,"1",1499,"2026-02-24T09:14:08.652139Z","Human Capital",0.9954,499,"Human Capital",7.634,"IDXX_2023_0020","These included having employees work from home, if their job duties allowed, while implementing additional safety measures for employees continuing critical on-site work. As of December 31, 2022, our offices are open and we follow public health guidance and protocols, while continuing to support flexible work options. We promote a positive workplace environment and build a collaborative culture through in-person and virtual events, including town halls, in-office celebrations, and employee-led communities. We monitor the state of the pandemic to ensure the continued safety and health of our employees. Ensuring the health, safety, and well-being of our employees is a top priority at IDEXX. We provide our employees with the training, tools, and resources they need to safeguard their health and we empower them to put safety first. Our Environmental Health & Safety (“EH&S”) team oversees the IDEXX EH&S management system and our company-wide safety programs, ensuring that all of our locations implement health and safety processes to maintain and improve employee safety, reduce workplace risks, and drive continuous improvement. Growth and Development
. We are steadfast in our focus on cultivating the diverse leaders of tomorrow and making career development opportunities more accessible across the company. Much of training programs are 100% virtual and available in multiple languages. Our career development programs are designed to build capabilities and enable career progression.","IDXX","2026-02-24T09:14:08.652150Z",2023
508,"1",498,"2026-02-24T09:14:12.758482Z","Human Capital",0.9954,500,"Human Capital",3.86,"OKE_2021_0065","We continue to practice remote work procedures when possible to protect the safety of our employees and their families, and have taken extra precautions for our employees who work in the field or need to report to a ONEOK facility, such as increased facility access restrictions, workspace modifications, social distancing, face covering protocols and sanitation procedures. During 2020, ONEOK employees completed more than 50,000 hours of virtual and classroom training focused on employee safety.","OKE","2026-02-24T09:14:12.758490Z",2021
509,"1",1348,"2026-02-24T09:14:15.386679Z","Human Capital",0.9954,501,"Human Capital",2.394,"VLO_2022_0054","Training and Development

We offer a comprehensive training and development program for our employees in subjects such as engineering and technical excellence, safety, maintenance and machinery/equipment repair, ethics, leadership, and employee performance. Our employee development initiatives include customized professional and technical curriculums, efforts to engage our leadership in the employee’s development process, and providing employee performance discussions. We offer a robust virtual training curriculum, which allows for greater availability and access for employees located across our many facilities and enables just-in-time training. Wellness
We strive to promote the health and well-being of our employees and their families. Our Total Wellness Program serves as the umbrella program for all aspects of employee wellness and is the program through which many of the benefits referenced above are provided. The heart of our Total Wellness Program is the annual wellness assessment, which is intended to provide a detailed picture of an employee’s current health that may educate and inform health decisions by highlighting risk factors and providing information that can help save lives. Under our Total Wellness Program, educational sessions are also scheduled throughout the year on a variety of topics on health and finances.","VLO","2026-02-24T09:14:15.386693Z",2022
510,"1",1371,"2026-02-24T09:14:20.563802Z","Human Capital",0.9953,502,"Human Capital",4.903,"BALL_2021_0005","Our environmental, health and safety function and our operations executives partner to consistently reinforce policies and procedures that are designed to reduce workplace risks and ensure safe methods of plant production, including through regular training and reporting on injuries and lost-time incidents. Over the past 15 years, we have sponsored a variety of health and wellness programs designed to enhance the physical and mental well-being of our employees around the world. During 2020, the company expanded access to its existing Employee Assistance Program (EAP) to our entire global workforce. The EAP provides employees and their families access to mental health, stress management and support resources during these difficult times.
​

Since the onset of the novel coronavirus (COVID-19) pandemic, nearly all of our businesses have been deemed essential by the governments where we operate, and our production facilities have operated continuously. During this time, we have put employee health and well-being front and center, and we have adjusted our approach to how work gets done accordingly. Our guiding principles throughout the pandemic have been safety, flexibility and empathy. Ball has implemented rigorous safety protocols in all its locations, including face coverings, social distancing, contact tracing, employee testing and enhanced cleaning.","BALL","2026-02-24T09:14:20.563835Z",2021
