"annotation_id","annotator","char_count","combined_text","created_at","filing_date","finbert_confidence","finbert_label","id","label","lead_time","paragraph_id","risk_heading","risk_section","ticker","updated_at"
1996,"1",131,"General Risk Factors
We may be exposed to certain physical, transitional, regulatory and financial risks related to climate change.","2026-03-14T13:47:55.014448Z","2025-02-12",0.9944,"Climate Change",1001,"Climate Change",9.775,"ALB_2025_RISK_114","General Risk Factors","General Risk Factors","ALB","2026-03-14T13:47:55.014459Z"
1997,"1",1782,"Environmental Sampling in the Cadia Area
Climate change and the transition to a low-carbon economy is expected to impact Newmont in a number of ways. Producing gold is an energy-intensive business, currently resulting in a significant carbon footprint. Transitioning to a low-carbon economy will require significant investment and may entail extensive policy, legal, technology, and market changes to address mitigation and adaptation requirements related to climate change. Depending on the nature, speed, focus and jurisdiction of these changes, transition risks may pose varying levels of financial and reputational risk to the business. A number of governments or governmental bodies have introduced or are contemplating regulatory changes in response to the potential impacts of climate change that are viewed as the result of emissions from the combustion of carbon-based fuels. At the 21st Conference of the Parties of the United Nations Framework Convention on Climate Change (“UNFCC”) held in Paris in 2015, the Paris Agreement was adopted which was intended to govern emission reductions beyond 2020, and subsequent UN Climate Change Conferences reaffirmed the commitments of the Paris Agreement. Newmont supports the UNFCC goal of limiting global warming to “well below 2oC” compared to pre-industrial levels and plans to transition its operations to meet this goal by 2030, with an aspiration of carbon neutrality by 2050. Material investments and capital expenditures will be required in order to meet our climate targets in the future. Inconsistent implementation or significant delay in the implementation of country-level policy is likely to increase the risk for future regulatory impacts and rapid shifts to low-carbon technologies, including renewable energy use.","2026-03-14T13:48:36.851786Z","2026-02-19",0.9954,"Climate Change",1002,"Climate Change",41.125,"NEM_2026_RISK_083","Environmental Sampling in the Cadia Area","Waste Rock and Tailings Management","NEM","2026-03-14T13:48:36.851799Z"
1998,"1",1699,"Risks Related to Health, Safety, and the Environment
Our operations in Europe participate in the European Union Emissions Trading System (“ETS”) and we purchase annual emission allowances to meet our obligations. Following the adoption of the Climate Law, additional legislation is proposed to meet the new 2030 goals. In light of these changes resulting from the commencement of ETS Phase IV in 2021, we expect to incur additional costs in relation to future carbon or GHG emission trading schemes. In the U.S., the EPA promulgated federal GHG regulations under the Clean Air Act affecting certain sources. The EPA issued mandatory GHG reporting requirements, requirements to obtain GHG permits for certain industrial plants and GHG performance standards for some facilities. Addressing climate change is a stated priority of President Biden and as such additional regulations and legislation are likely to be forthcoming at the U.S. federal or state level that could result in increased operating costs for compliance, or required acquisition or trading of emission allowances. Additionally, demand for the products we produce may be reduced. Compliance with these regulations may result in increased permitting necessary for the operation of our business or for any of our growth plans. Difficulties in obtaining such permits could have an adverse effect on our future growth. Therefore, any future potential regulations, legislation, or litigation results could impose additional operating restrictions or delays in implementing growth projects or other capital investments, require us to incur increased costs, and could have a material adverse effect on our business and results of operations.","2026-03-14T13:48:55.741398Z","2022-02-24",0.9933,"Climate Change",1003,"Climate Change",18.218,"LYB_2022_RISK_040","Risks Related to Health, Safety, and the Environment","Risks Related to our Operations","LYB","2026-03-14T13:48:55.741411Z"
1999,"1",1924,"Business Operations
Climate change and other sustainability matters may adversely affect our business and operations. There is growing concern that carbon dioxide and other greenhouse gases in the atmosphere may have an adverse impact on global temperatures, weather patterns, and the frequency and severity of extreme weather and natural disasters. We have transition risks related to the transition to a lower-carbon economy and physical risks related to the physical impacts of climate change. Transition risks include increased costs of carbon emission, increased cost to produce products in compliance with future regulations, increased raw materials cost, shifts in customer/consumer values and other legal, regulatory and technological risks. Physical risks include the risk of direct damage to assets or supply chain disruption caused by severe weather events such as floods, storms, wildfires and droughts. In addition, concern over climate change may result in new legal and regulatory requirements to reduce or mitigate the effects of climate change on the environment. Despite our sustainability efforts, any failure to achieve our sustainability goals, including those aimed to reduce our impact on, improve or preserve the environment, or the perception (whether or not valid) that we have failed to act responsibly with respect to such matters or to effectively respond to new legal or regulatory requirements regarding climate change, could adversely affect our business and reputation. There is also increased focus, including by governmental and non-governmental organizations, investors, customers, consumers, our employees and other stakeholders on these and other sustainability matters, including responsible sourcing and deforestation, the use of plastic, energy and water, the recyclability or recoverability of packaging, including single-use and other plastic packaging and ingredient transparency.","2026-03-14T13:48:59.444603Z","2023-02-09",0.9935,"Climate Change",1004,"Climate Change",3.017,"KMB_2023_RISK_021","Business Operations","Business Operations","KMB","2026-03-14T13:48:59.444611Z"
2000,"1",186,"Climate Change and Environmental
The Company’s operations and financial results could be negatively impacted by climate change and regulatory and legislative responses to climate change.","2026-03-14T13:49:02.426242Z","2022-02-16",0.9936,"Climate Change",1005,"Climate Change",2.288,"CSX_2022_RISK_033","Climate Change and Environmental","Climate Change and Environmental","CSX","2026-03-14T13:49:02.426253Z"
2001,"1",554,"GENERAL RISK FACTORS
Concern over climate change, including global warming, has led to legislative and regulatory initiatives directed at limiting greenhouse gas emissions. For example, proposals that would impose mandatory requirements on greenhouse gas emissions continue to be considered by policy makers in the countries in which we will operate. Laws enacted that directly or indirectly affect our production, distribution, packaging, cost of raw materials, fuel, ingredients and water could all negatively impact our business and financial results.","2026-03-14T13:49:12.490008Z","2022-02-24",0.9942,"Climate Change",1006,"Climate Change",9.39,"KDP_2022_RISK_051","GENERAL RISK FACTORS","GENERAL RISK FACTORS","KDP","2026-03-14T13:49:12.490019Z"
2002,"1",133,"LEGAL AND REGULATORY RISKS
We may be affected by global climate change or legal, tax, regulatory, or market responses to such change.","2026-03-16T01:18:59.782403Z","2025-02-21",0.9945,"Climate Change",1007,"Climate Change",9.652,"GPC_2025_RISK_031","LEGAL AND REGULATORY RISKS","LEGAL AND REGULATORY RISKS","GPC","2026-03-16T01:18:59.782414Z"
2003,"1",252,"Risks Associated with Climate Change, GHG Emissions and Other Environmental Matters
Concerns about GHG emissions and the potential risks associated with climate change have led to increased regulation and other actions that could impact our businesses.","2026-03-16T01:19:02.826891Z","2025-02-27",0.9946,"Climate Change",1008,"Climate Change",2.441,"FE_2025_RISK_073","Risks Associated with Climate Change, GHG Emissions and Other Environmental Matters","Risks Associated with Climate Change, GHG Emissions and Other Environmental Matters","FE","2026-03-16T01:19:02.826906Z"
2004,"1",317,"OPERATIONAL RISKS
We may be affected by changing worldwide demand for food and different forms of renewable energy, which could impact the price of farm commodities and consequently the demand for our equipment. This could result in higher research and development costs related to changing machine fuel requirements.","2026-03-16T01:19:36.067331Z","2024-12-12",0.992,"Climate Change",1009,"Non-ESG",32.686,"DE_2024_RISK_007","OPERATIONAL RISKS","OPERATIONAL RISKS","DE","2026-03-16T01:19:36.067344Z"
2005,"1",1527,"Risks Related to Regulatory Matters
We face increasing complexity related to product design, the availability and use of regulated materials, the associated energy consumption and efficiency related to the use of products, the transportation and shipping of products, climate change regulations, and the reuse, recycling and/or disposal of products and their components at end-of-use or useful life as we adjust to new and future requirements relating to our transition to a more circular economy. There continues to be a lack of consistent climate legislation, which creates economic and regulatory uncertainty. Such regulatory uncertainty extends to future incentives for energy efficient buildings and vehicles and costs of compliance, which may impact the demand for our products, obsolescence of our products and our results of operations. Our climate commitment requires us to offer a full line of next generation products by 2030 without compromising safety or energy efficiency. Additionally, in 2019, we announced our 2030 commitment which targets reducing one gigaton – one billion metric tons – of carbon emissions (CO2e) from our customers’ footprint by 2030. While we are committed to pursuing these sustainability objectives, there can be no assurance that we will successfully achieve our commitments. Failure to meet these commitments could result in reputational and other harm to our company. Changes regarding climate risk management and practices may result in higher regulatory, compliance risks and costs.","2026-03-16T01:19:44.895285Z","2024-02-08",0.9953,"Climate Change",1010,"Climate Change",8.287,"TT_2024_RISK_037","Risks Related to Regulatory Matters","Risks Related to Regulatory Matters","TT","2026-03-16T01:19:44.895293Z"
