addition_rank,priority,planned_action,codex_prelabel,subtopic,prelabel_reason,review_decision,reviewed_label,reviewer_note,paragraph_id,ticker,cik,filing_date,accession_number,risk_section,risk_heading,paragraph_text,combined_text,char_count,cleaning_flags,finbert_label,finbert_confidence
1,primary,ADD_AND_REPLACE_NON_ESG,Natural Capital,Water stewardship and water stress,可靠水源、水效率目標、流域壓力與水權談判是段落主體。,,,,NEM_2023_RISK_085,NEM,0001164727,2023-02-23,0001164727-23-000011,Risks Related to Our Industry,Risks Related to Our Industry,"We recognize the right to clean, safe water and that reliable water supplies are vital for hygiene, sanitation, livelihoods and the health of the environment. Water is also critical to our business, and the increasing pressure on water resources requires us to consider both current and future conditions in our management approach. We have set annual water efficiency targets at each of our operating sites. Additionally, we aim to achieve ambitious long-term water stewardship actions, which integrate our operations and value chain and support collective management of water through external partnerships and collaborations. A failure to meet our water targets and/or societal or investor expectations could also result in damage to our reputation, decreased investor confidence and challenges in maintaining positive community relations, which can pose additional obstacles to our ability to develop our projects, which may result in a material adverse impact on our business, financial position, results of operations and growth prospects. Across the globe, water is a shared and regulated resource. Newmont operates in areas where watersheds are under stress with limited supply, increasing population and water demand, and impacted water in various forms. Increasing pressure on water use may occur due to in-migration of communities and increased populations in proximity to our operations. Although each of our operations currently has sufficient water rights, claims and contracts to cover its operational demands, we cannot predict the potential outcome of pending or future legal proceedings or community negotiations relating to our water rights, claims, contracts and uses. Water shortages and surplus may also result from weather or climate impacts outside of the Company’s control.","Risks Related to Our Industry
We recognize the right to clean, safe water and that reliable water supplies are vital for hygiene, sanitation, livelihoods and the health of the environment. Water is also critical to our business, and the increasing pressure on water resources requires us to consider both current and future conditions in our management approach. We have set annual water efficiency targets at each of our operating sites. Additionally, we aim to achieve ambitious long-term water stewardship actions, which integrate our operations and value chain and support collective management of water through external partnerships and collaborations. A failure to meet our water targets and/or societal or investor expectations could also result in damage to our reputation, decreased investor confidence and challenges in maintaining positive community relations, which can pose additional obstacles to our ability to develop our projects, which may result in a material adverse impact on our business, financial position, results of operations and growth prospects. Across the globe, water is a shared and regulated resource. Newmont operates in areas where watersheds are under stress with limited supply, increasing population and water demand, and impacted water in various forms. Increasing pressure on water use may occur due to in-migration of communities and increased populations in proximity to our operations. Although each of our operations currently has sufficient water rights, claims and contracts to cover its operational demands, we cannot predict the potential outcome of pending or future legal proceedings or community negotiations relating to our water rights, claims, contracts and uses. Water shortages and surplus may also result from weather or climate impacts outside of the Company’s control.",1827,['split_long_paragraph'],Natural Capital,0.988
2,primary,ADD_AND_REPLACE_NON_ESG,Natural Capital,Water scarcity and sourcing,明確討論水資源稀缺對製造、原料供應與節水投資的影響。,,,,PEP_2022_RISK_012,PEP,0000077476,2022-02-10,0000077476-22-000010,Business Risks,Business Risks,"Water scarcity can adversely affect our business. We and our business partners use water in the manufacturing and sourcing of our products. Water is also essential to the production of the raw materials needed in our manufacturing process. Lack of available water of acceptable quality, increasing focus by governmental and non-governmental organizations, investors, customers and consumers on water scarcity and increasing pressure to conserve and replenish water in areas of scarcity and stress, including due to the effects of climate change, may lead to: supply chain disruption; adverse effects on our operations or the operations of our business partners; higher compliance costs; capital expenditures (including investments in the development of technologies to enhance water efficiency and reduce consumption); higher production costs, including less favorable pricing for water; the interruption or cessation of operations at, or relocation of, our facilities or the facilities of our business partners; failure to achieve our goals relating to water use; perception of our failure to act responsibly with respect to water use or to effectively respond to legal or regulatory requirements concerning water scarcity; or damage to our reputation, any of which can adversely affect our business.","Business Risks
Water scarcity can adversely affect our business. We and our business partners use water in the manufacturing and sourcing of our products. Water is also essential to the production of the raw materials needed in our manufacturing process. Lack of available water of acceptable quality, increasing focus by governmental and non-governmental organizations, investors, customers and consumers on water scarcity and increasing pressure to conserve and replenish water in areas of scarcity and stress, including due to the effects of climate change, may lead to: supply chain disruption; adverse effects on our operations or the operations of our business partners; higher compliance costs; capital expenditures (including investments in the development of technologies to enhance water efficiency and reduce consumption); higher production costs, including less favorable pricing for water; the interruption or cessation of operations at, or relocation of, our facilities or the facilities of our business partners; failure to achieve our goals relating to water use; perception of our failure to act responsibly with respect to water use or to effectively respond to legal or regulatory requirements concerning water scarcity; or damage to our reputation, any of which can adversely affect our business.",1316,['merged_short_fragment'],Natural Capital,0.986
3,primary,ADD_AND_REPLACE_NON_ESG,Natural Capital,"Aquifer, drought, and biodiversity",地下水抽取、乾旱、水位及敏感植物監測直接涉及水資源與生物多樣性。,,,,FCX_2025_RISK_064,FCX,0000831259,2025-02-14,0000831259-25-000006,South America,South America,"Water for our Cerro Verde operation in Peru comes from renewable sources through a series of storage reservoirs on the Rio Chili watershed that collects water primarily from seasonal precipitation and from wastewater collected from the city of Arequipa and treated at a wastewater treatment plant constructed by us. Weather patterns have contributed to ongoing drought conditions in the area and water shortages at our Cerro Verde operation are possible, which could impact our operations. Water for our El Abra operation in Chile currently comes from the continued pumping of groundwater from the Salar de Ascotán aquifer. The agreement to pump from this aquifer is subject to continued monitoring through 2029 of the aquifer water levels and select flora species to ensure that environmentally sensitive areas are not impacted by our pumping, which if impacted could cause reductions in pumping to restore water levels and could have an adverse effect on production from El Abra. Our permit for pumping of groundwater will expire in 2029 and any renewal or provisional extension may be challenging. We are evaluating water infrastructure alternatives to provide options to extend existing operations and support a future expansion, while continuing to monitor Chile’s regulatory and fiscal matters, as well as trends in capital costs for similar projects. There can be no assurance that we will be able to execute such water infrastructure plans or obtain a new permit or provisional extension, which could have an adverse impact on our operations. For further discussion, see the risk factor above relating to the geopolitical, economic and social risks associated with our operations. Although our operations currently have access to sufficient water sources to support current operational demands, as discussed above, the availability of additional supplies for potential future expansions or development will require additional investments and will take time to develop, if available.","South America
Water for our Cerro Verde operation in Peru comes from renewable sources through a series of storage reservoirs on the Rio Chili watershed that collects water primarily from seasonal precipitation and from wastewater collected from the city of Arequipa and treated at a wastewater treatment plant constructed by us. Weather patterns have contributed to ongoing drought conditions in the area and water shortages at our Cerro Verde operation are possible, which could impact our operations. Water for our El Abra operation in Chile currently comes from the continued pumping of groundwater from the Salar de Ascotán aquifer. The agreement to pump from this aquifer is subject to continued monitoring through 2029 of the aquifer water levels and select flora species to ensure that environmentally sensitive areas are not impacted by our pumping, which if impacted could cause reductions in pumping to restore water levels and could have an adverse effect on production from El Abra. Our permit for pumping of groundwater will expire in 2029 and any renewal or provisional extension may be challenging. We are evaluating water infrastructure alternatives to provide options to extend existing operations and support a future expansion, while continuing to monitor Chile’s regulatory and fiscal matters, as well as trends in capital costs for similar projects. There can be no assurance that we will be able to execute such water infrastructure plans or obtain a new permit or provisional extension, which could have an adverse impact on our operations. For further discussion, see the risk factor above relating to the geopolitical, economic and social risks associated with our operations. Although our operations currently have access to sufficient water sources to support current operational demands, as discussed above, the availability of additional supplies for potential future expansions or development will require additional investments and will take time to develop, if available.",2004,['split_long_paragraph'],Natural Capital,0.9819
4,primary,ADD_AND_REPLACE_NON_ESG,Natural Capital,Wildlife and critical habitat,受威脅物種、野生動物與關鍵棲地保護是主要營運限制。,,,,EQT_2025_RISK_079,EQT,0000033213,2025-02-19,0000033213-25-000011,Legal and Regulatory Risks,Regulations related to the protection of wildlife could adversely affect our ability to conduct drilling activities and pipeline construction in some of the areas where we operate.,"Our operations can be adversely affected by regulations designed to protect various wildlife, including threatened and endangered species and their critical habitat. The implementation of measures to protect wildlife or the designation of previously unprotected species as threatened or endangered in areas where underlying property operations are conducted could cause us to incur increased costs arising from species protection measures or could result in constraints on our exploration, production and midstream activities. This limits our ability to operate in those areas and can intensify competition during those months for drilling rigs, oilfield equipment, services, supplies and qualified personnel, which may lead to periodic shortages. These constraints and the resulting shortages or high costs could delay our operations and materially increase our operating and capital costs.","Regulations related to the protection of wildlife could adversely affect our ability to conduct drilling activities and pipeline construction in some of the areas where we operate.
Our operations can be adversely affected by regulations designed to protect various wildlife, including threatened and endangered species and their critical habitat. The implementation of measures to protect wildlife or the designation of previously unprotected species as threatened or endangered in areas where underlying property operations are conducted could cause us to incur increased costs arising from species protection measures or could result in constraints on our exploration, production and midstream activities. This limits our ability to operate in those areas and can intensify competition during those months for drilling rigs, oilfield equipment, services, supplies and qualified personnel, which may lead to periodic shortages. These constraints and the resulting shortages or high costs could delay our operations and materially increase our operating and capital costs.",1072,[],Natural Capital,0.9735
5,primary,ADD_AND_REPLACE_NON_ESG,Natural Capital,Responsible raw-material sourcing,電池礦物供應與負責任採購直接落在原料 sourcing 子題。,,,,F_2023_RISK_005,F,0000037996,2023-02-03,0000037996-23-000012,Operational Risks,Operational Risks,"For the production of our electric vehicles, we are dependent on the supply of batteries and the raw materials (e.g., lithium, cobalt, nickel, graphite, and manganese) used by our suppliers to produce those batteries. As we increase our production of electric vehicles, we expect our need for such materials to increase significantly. At the same time, other companies are increasing their production of electric vehicles, which will further increase the demand for such raw materials. As a result, we may be unable to acquire raw materials needed for electric vehicle production in sufficient amounts that are responsibly sourced or at reasonable prices. As described below under “To facilitate access to the raw materials necessary for the production of electric vehicles, Ford has entered into, and expects to continue to enter into, multi-year commitments to raw material suppliers that subject Ford to risks associated with lower future demand for such materials as well as costs that fluctuate and are difficult to accurately forecast” as well as in the Liquidity and Capital Resources section in Item 7 below, we have entered into, and expect to continue to enter into, offtake agreements and other long-term purchase contracts that obligate us, subject to certain conditions such as quality or minimum output, to purchase a certain percentage or minimum amount of output from certain raw materials suppliers. In the event the supplier under those agreements or any of our or our suppliers’ raw material supply contracts is unable to deliver sufficient quantities of raw materials needed for our or our suppliers’ production operations, e.g., if a mine does not produce at expected levels, or the raw materials do not otherwise satisfy our requirements, and we or our suppliers are unable to find an alternative resource with sufficient quantities, at reasonable prices, responsibly sourced, and in a timely manner, it could impact our ability to produce electric vehicles.","Operational Risks
For the production of our electric vehicles, we are dependent on the supply of batteries and the raw materials (e.g., lithium, cobalt, nickel, graphite, and manganese) used by our suppliers to produce those batteries. As we increase our production of electric vehicles, we expect our need for such materials to increase significantly. At the same time, other companies are increasing their production of electric vehicles, which will further increase the demand for such raw materials. As a result, we may be unable to acquire raw materials needed for electric vehicle production in sufficient amounts that are responsibly sourced or at reasonable prices. As described below under “To facilitate access to the raw materials necessary for the production of electric vehicles, Ford has entered into, and expects to continue to enter into, multi-year commitments to raw material suppliers that subject Ford to risks associated with lower future demand for such materials as well as costs that fluctuate and are difficult to accurately forecast” as well as in the Liquidity and Capital Resources section in Item 7 below, we have entered into, and expect to continue to enter into, offtake agreements and other long-term purchase contracts that obligate us, subject to certain conditions such as quality or minimum output, to purchase a certain percentage or minimum amount of output from certain raw materials suppliers. In the event the supplier under those agreements or any of our or our suppliers’ raw material supply contracts is unable to deliver sufficient quantities of raw materials needed for our or our suppliers’ production operations, e.g., if a mine does not produce at expected levels, or the raw materials do not otherwise satisfy our requirements, and we or our suppliers are unable to find an alternative resource with sufficient quantities, at reasonable prices, responsibly sourced, and in a timely manner, it could impact our ability to produce electric vehicles.",1999,['split_long_paragraph'],Natural Capital,0.2949
6,primary,ADD_AND_REPLACE_NON_ESG,Natural Capital,Biodiversity and sustainable agriculture,農業原料、生物多樣性流失與永續農業／採購計畫是主要內容。,,,,KO_2024_RISK_090,KO,0000021344,2024-02-20,0000021344-24-000009,RISKS RELATED TO ENVIRONMENTAL AND SOCIAL FACTORS,RISKS RELATED TO ENVIRONMENTAL AND SOCIAL FACTORS,"As part of the manufacture of our beverage products, we and our bottling partners use a number of key ingredients that are derived from agricultural commodities such as sugarcane, corn, sugar beets, citrus, coffee and tea. Increased demand for food products; decreased agricultural productivity in certain regions of the world as a result of changing weather patterns; loss of biodiversity; increased agricultural regulations, including regulation of ingredient sourcing due diligence; and other factors have in the past, and may in the future, limit the availability and/or increase the cost of such agricultural commodities and could impact the food security of communities around the world. If we are unable to implement programs focused on economic opportunity and environmental sustainability to address these agricultural challenges and fail to make a strategic impact on food security through joint efforts with bottlers, farmers, communities, suppliers and key partners, as well as through our increased and continued investment in sustainable agriculture, our ability to source raw materials for use in our manufacturing processes and the affordability of our products and ultimately our business and results of operations could be negatively impacted.","RISKS RELATED TO ENVIRONMENTAL AND SOCIAL FACTORS
As part of the manufacture of our beverage products, we and our bottling partners use a number of key ingredients that are derived from agricultural commodities such as sugarcane, corn, sugar beets, citrus, coffee and tea. Increased demand for food products; decreased agricultural productivity in certain regions of the world as a result of changing weather patterns; loss of biodiversity; increased agricultural regulations, including regulation of ingredient sourcing due diligence; and other factors have in the past, and may in the future, limit the availability and/or increase the cost of such agricultural commodities and could impact the food security of communities around the world. If we are unable to implement programs focused on economic opportunity and environmental sustainability to address these agricultural challenges and fail to make a strategic impact on food security through joint efforts with bottlers, farmers, communities, suppliers and key partners, as well as through our increased and continued investment in sustainable agriculture, our ability to source raw materials for use in our manufacturing processes and the affordability of our products and ultimately our business and results of operations could be negatively impacted.",1311,[],Natural Capital,0.5634
7,primary,ADD_AND_REPLACE_NON_ESG,Natural Capital,Water scarcity and quality,水稀缺、水質、用水競爭與供應限制直接符合 Natural Capital。,,,,KDP_2024_RISK_068,KDP,0001418135,2024-02-22,0001418135-24-000007,GENERAL RISK FACTORS,GENERAL RISK FACTORS,"Water scarcity and quality could adversely affect our business. Water is the primary ingredient in many of our products and is used across our operations. The competition for water among domestic, agricultural and manufacturing users is increasing in the countries where we operate. Even where water is widely available, water purification and waste treatment infrastructure limitations and regulations could increase costs or constrain our operations. As water becomes scarcer, the quality of the water deteriorates, including due to the effects of climate change, or requirements on water purification or filtration increase, we may experience increased production costs; manufacturing constraints; supply chain disruption; higher compliance costs; increased capital expenditures; the interruption or cessation of operations at, or relocation of, our facilities or the facilities of our business partners; challenges to efficiency gains due to higher water usage in compliance with more stringent water quality standards; failure to achieve our water efficiency and conservation goals; perception of our failure to act responsibly with respect to water use or to effectively respond to legal or regulatory requirements concerning water scarcity and quality; or damage to our reputation, any of which can adversely affect our business.","GENERAL RISK FACTORS
Water scarcity and quality could adversely affect our business. Water is the primary ingredient in many of our products and is used across our operations. The competition for water among domestic, agricultural and manufacturing users is increasing in the countries where we operate. Even where water is widely available, water purification and waste treatment infrastructure limitations and regulations could increase costs or constrain our operations. As water becomes scarcer, the quality of the water deteriorates, including due to the effects of climate change, or requirements on water purification or filtration increase, we may experience increased production costs; manufacturing constraints; supply chain disruption; higher compliance costs; increased capital expenditures; the interruption or cessation of operations at, or relocation of, our facilities or the facilities of our business partners; challenges to efficiency gains due to higher water usage in compliance with more stringent water quality standards; failure to achieve our water efficiency and conservation goals; perception of our failure to act responsibly with respect to water use or to effectively respond to legal or regulatory requirements concerning water scarcity and quality; or damage to our reputation, any of which can adversely affect our business.",1357,['merged_short_fragment'],Natural Capital,0.9822
8,primary,ADD_AND_REPLACE_NON_ESG,Community Relations,Underserved healthcare access,透過非營利診所讓弱勢兒童取得牙科照護與衛教，明確屬醫療可近性。,,,,ALGN_2024_RISK_020,ALGN,0001097149,2024-02-28,0001097149-24-000011,Human Capital,Human Capital,"•For 16 years we have supported America’s ToothFairy, an organization with a mission to ensure underserved children in the United States have access to dental care and learn about oral health by supporting nonprofit clinics and community partners. As of December 31, 2023, we have provided almost $2 million for the foundation’s operational expenses and children’s oral health programs. As a result of our support, more than 1.3 million children living with restricted access to care in communities across the country received dental care and/or oral health instruction through America’s ToothFairy programs and the safety-net dental clinics they support. We also provide product donations to the dental community to help patients in need of healthy, beautiful smiles. For more information on our charitable and community efforts, please refer to the Corporate Social Responsibility portion of our corporate website located at https://www.aligntech.com/about/corporate_social_responsibility.","Human Capital
•For 16 years we have supported America’s ToothFairy, an organization with a mission to ensure underserved children in the United States have access to dental care and learn about oral health by supporting nonprofit clinics and community partners. As of December 31, 2023, we have provided almost $2 million for the foundation’s operational expenses and children’s oral health programs. As a result of our support, more than 1.3 million children living with restricted access to care in communities across the country received dental care and/or oral health instruction through America’s ToothFairy programs and the safety-net dental clinics they support. We also provide product donations to the dental community to help patients in need of healthy, beautiful smiles. For more information on our charitable and community efforts, please refer to the Corporate Social Responsibility portion of our corporate website located at https://www.aligntech.com/about/corporate_social_responsibility.",1005,['split_long_paragraph'],Community Relations,0.9886
9,primary,ADD_AND_REPLACE_NON_ESG,Community Relations,Education and local workforce support,獎學金及地方技職教育投資屬社區教育與技能支持。,,,,SWK_2025_RISK_012,SWK,0000093556,2025-02-18,0000093556-25-000007,Grow the Trades Program,Grow the Trades Program,"Through the DEWALT Trades Scholarship program, the Company provided scholarships to individuals attending a two-year college or vocational-technical school who are pursuing a trade degree/certificate in fields aligned with the Company's end markets. The Company is committed to addressing the trade skills gap and investing in communities that support education and training programs for local tradespeople.","Grow the Trades Program
Through the DEWALT Trades Scholarship program, the Company provided scholarships to individuals attending a two-year college or vocational-technical school who are pursuing a trade degree/certificate in fields aligned with the Company's end markets. The Company is committed to addressing the trade skills gap and investing in communities that support education and training programs for local tradespeople.",431,['split_long_paragraph'],Community Relations,0.9879
10,primary,ADD_AND_REPLACE_NON_ESG,Community Relations,Patient access and financial assistance,病患倡議、保險協助與治療可近性是段落核心。,,,,BIIB_2022_RISK_011,BIIB,0000875045,2022-02-03,0000875045-22-000007,Other,Other,"Patient Support and Access We interact with patients, advocacy organizations and healthcare societies in order to gain insights into unmet needs. The insights gained from these engagements help us support patients with services, programs and applications that are designed to help patients lead better lives. Among other things, we provide customer service and other related programs for our products, such as disease and product specific websites, insurance research services, financial assistance programs and the facilitation of the procurement of our marketed products. We are dedicated to helping patients obtain access to our therapies. Our patient representatives have access to a suite of financial assistance tools. With those tools, we help patients understand their insurance coverage and, if needed, help patients compare and select new insurance options and programs. In the U.S., we have established programs that provide co-pay assistance or free marketed product for qualified uninsured or underinsured patients, based on specific eligibility criteria. We also provide charitable contributions to independent charitable organizations that assist patients with out-of-pocket expenses associated with their therapy. We believe all healthcare stakeholders have a shared responsibility to ensure patients have equitable access to new, innovative medicines. We regularly review our pricing strategy and prioritize patient access to our therapies. We have a value-based contracting program designed to align the price of our therapies to the value our therapies deliver to patients. We also work with regulators, clinical researchers, ethicists, physicians and patient advocacy organizations and communities, among others, to determine how best to address requests for access to our investigational therapies in a manner that is consistent with our patient-focused values and compliant with regulatory standards and protocols.","Other
Patient Support and Access We interact with patients, advocacy organizations and healthcare societies in order to gain insights into unmet needs. The insights gained from these engagements help us support patients with services, programs and applications that are designed to help patients lead better lives. Among other things, we provide customer service and other related programs for our products, such as disease and product specific websites, insurance research services, financial assistance programs and the facilitation of the procurement of our marketed products. We are dedicated to helping patients obtain access to our therapies. Our patient representatives have access to a suite of financial assistance tools. With those tools, we help patients understand their insurance coverage and, if needed, help patients compare and select new insurance options and programs. In the U.S., we have established programs that provide co-pay assistance or free marketed product for qualified uninsured or underinsured patients, based on specific eligibility criteria. We also provide charitable contributions to independent charitable organizations that assist patients with out-of-pocket expenses associated with their therapy. We believe all healthcare stakeholders have a shared responsibility to ensure patients have equitable access to new, innovative medicines. We regularly review our pricing strategy and prioritize patient access to our therapies. We have a value-based contracting program designed to align the price of our therapies to the value our therapies deliver to patients. We also work with regulators, clinical researchers, ethicists, physicians and patient advocacy organizations and communities, among others, to determine how best to address requests for access to our investigational therapies in a manner that is consistent with our patient-focused values and compliant with regulatory standards and protocols.",1942,['split_long_paragraph'],Community Relations,0.9789
