review_rank,original_label,api_consensus_label,codex_suggested_label,dispute_reason,reviewed_label,reviewer_note,annotation_id,annotator,char_count,combined_text,created_at,filing_date,finbert_confidence,finbert_label,id,label,lead_time,paragraph_id,risk_heading,risk_section,ticker,updated_at
1,Non-ESG,Climate Change,Climate Change,明確提及因應氣候變遷的環境法規與倡議。,,,2007,1,169,"Risks related to regulatory or legal challenges
Our manufacturing operations are subject to environmental laws and regulations and initiatives to address climate change.",2026-03-16T01:19:57.926372Z,2025-02-20,0.9946,Climate Change,1012,Non-ESG,6.311999999999999,NXPI_2025_RISK_049,Risks related to regulatory or legal challenges,Risks related to our business operations,NXPI,2026-03-16T01:21:37.572897Z
2,Non-ESG,Climate Change,Climate Change,段落主體直接是氣候變遷及其法規、市場措施。,,,2009,1,219,"Risks Related to Our Company, Business and Operations
Climate change, or legal, regulatory or market measures to address climate change, may negatively affect our business, financial condition and results of operations.",2026-03-16T01:21:30.713154Z,2026-01-22,0.9936,Climate Change,1014,Non-ESG,68.504,MKC_2026_RISK_037,"Risks Related to Our Company, Business and Operations",,MKC,2026-03-16T01:21:30.713165Z
3,Non-ESG,Climate Change,Climate Change,溫室氣體密集度與低碳材料偏好屬氣候轉型風險。,,,2012,1,202,"Industry Specific Risk Factors
Emerging customer preferences for greater product transparency and less GHG intensive materials may put us at a competitive disadvantage or reduce demand for our products.",2026-03-16T01:22:14.063052Z,2022-02-28,0.9938,Climate Change,1017,Non-ESG,6.574,NUE_2022_RISK_018,Industry Specific Risk Factors,Industry Specific Risk Factors,NUE,2026-03-16T01:22:14.063061Z
4,Non-ESG,Climate Change,Climate Change,明確陳述全球氣候變遷及其政策、市場回應。,,,2013,1,159,"Risks Related to Legal and Regulatory Matters
We may be adversely affected by global climate change or by legal, regulatory or market responses to such change.",2026-03-16T01:22:25.807846Z,2022-01-31,0.992,Climate Change,1018,Non-ESG,11.244,BA_2022_RISK_047,Risks Related to Legal and Regulatory Matters,Risks Related to Our Contracts,BA,2026-03-16T01:22:25.807857Z
5,Non-ESG,Climate Change,Climate Change,明列氣候相關事件與野火對營運的影響。,,,2015,1,178,"Risks Relating to Our Business and Industry
Our business may be adversely impacted by climate-related events, natural disasters, including wildfires, and other unforeseen events.",2026-03-16T01:22:41.404082Z,2025-03-14,0.9748,Climate Change,1020,Non-ESG,9.997,CCI_2025_RISK_043,Risks Relating to Our Business and Industry,Risks Relating to Our Business and Industry,CCI,2026-03-16T01:22:41.404092Z
6,Non-ESG,Climate Change,Climate Change,明確連結全球氣候變遷與災害頻率、強度。,,,2043,1,1144,"Risks Related to our Business and Industry
Our corporate headquarters, including certain of our research and development operations are located in the Silicon Valley area of Northern California, a region known for seismic activity. Additionally, a certain number of our facilities are located near rivers that have experienced flooding in the past. Also certain of our customers, suppliers and logistics centers are located in regions that have been or may be affected by earthquake, tsunami and flooding or other weather-related activity which in the past has disrupted, and in the future could disrupt, the flow of supply chain components and delivery of products. In addition, global climate change may result in significant natural disasters occurring more frequently and/or with greater intensity, such as drought, wildfires, storms, sea-level rise, changing precipitation, and flooding. We have not to date experienced a material event as a result of these kinds of natural disasters; however, the occurrence of any such event in the future could have a material adverse impact on our business, operating results, and financial condition.",2026-03-16T01:57:48.918709Z,2023-09-07,0.9134,Climate Change,1048,Non-ESG,189.846,CSCO_2023_RISK_067,Risks Related to our Business and Industry,Risks Related to our Business and Industry,CSCO,2026-03-16T01:57:48.918721Z
7,Non-ESG,Pollution & Waste,Pollution & Waste,回收材料與延伸生產者責任直接屬廢棄物／回收。,,,2164,1,1444,"Risks Related to Our Business and Operations
We purchase or collect and process recyclable materials such as paper, cardboard, plastics, aluminum and other metals for sale to third parties. Our results of operations may be affected by changing prices or market requirements for recyclable materials. The resale and purchase prices of, and market demand for, recyclable materials are volatile due to changes in economic conditions and numerous other factors beyond our control. For instance, several states have passed legislation commonly referred to as Extended Producer Responsibility. These laws are intended to shift the cost of recycling from consumers to producers while also mandating increased supply, which could lead to lower commodity prices. Significant price fluctuations or increased operating costs may affect our consolidated financial condition, results of operations and cash flows. At current volumes and mix of materials, we believe a $10 per ton change in the price of recycled commodities change both annual revenue and operating income by approximately $13 million. Accordingly, a substantial rise or drop in recycled commodity prices could materially affect our revenue and operating income. Although we have entered into hedging agreements to help offset volatility in recycled commodity prices in the past, we do not have any such hedging agreements currently, and we may not enter into these agreements in the future.",2026-03-16T04:39:19.500951Z,2026-02-18,0.4563,Pollution & Waste,1169,Non-ESG,34.421,RSG_2026_RISK_010,Risks Related to Our Business and Operations,Risks Related to Our Business and Operations,RSG,2026-03-16T04:39:19.500968Z
8,Non-ESG,Product Liability,Product Liability,個資不當蒐集、散布與資訊洩漏屬隱私及資料安全。,,,2227,1,1686,"revenues that we generate by the health insurance exchanges and Medicaid expansion under the ACA are not material, so the impact of the change in law and similar recent administration actions is expected to be limited. Any future replacement, modification or repeal of the ACA may adversely affect our business and financial results, particularly if the legislation reduces incentives for employer-sponsored insurance coverage. We cannot predict how other future federal or state legislative or administrative changes relating to healthcare reform will affect our business. For additional information, refer to “Item 1. Business—Government Regulation” and “Item 1. Business—Pricing, Price Constraints and Market Access.”
Increased use of social media platforms presents risks and challenges. We are increasing our use of social media to communicate Company news and events. The inappropriate and/or unauthorized use of social media could cause brand damage or information leakage and may give rise to liability, including from the improper collection and/or dissemination of personally identifiable information from employees, patients, healthcare professionals or other stakeholders. In addition, negative or inaccurate posts or comments about us on any social networking website could damage our reputation, brand image and goodwill and may cause significant volatility in our stock price. Further, the disclosure of non-public Company-sensitive information by our workforce or others, whether intentional or unintentional, through external media channels could lead to loss of trade secrets or other intellectual property, as well as the Company’s commercially sensitive information.",2026-03-16T05:21:39.811184Z,2023-02-14,0.4983,Human Capital,1232,Non-ESG,1172.878,BMY_2023_RISK_037,"revenues that we generate by the health insurance exchanges and Medicaid expansion under the ACA are not material, so the impact of the change in law and similar recent administration actions is expected to be limited. Any future replacement, modification or repeal of the ACA may adversely affect our business and financial results, particularly if the legislation reduces incentives for employer-sponsored insurance coverage. We cannot predict how other future federal or state legislative or administrative changes relating to healthcare reform will affect our business. For additional information, refer to “Item 1. Business—Government Regulation” and “Item 1. Business—Pricing, Price Constraints and Market Access.”","Product, Industry and Operational Risks",BMY,2026-03-16T05:21:39.811197Z
9,Non-ESG,Product Liability,Product Liability,核心是隱私與資安事件回應失敗。,,,2267,1,882,"Risks Related to our Industry
Any of the foregoing consequences could harm our business, reputation, financial condition, and operating results. While we have dedicated significant resources to privacy and security incident response capabilities, including dedicated worldwide incident response teams, our response process, particularly during times of a natural disaster or pandemic, may not be adequate, may fail to accurately assess the severity of an incident, may not be fast enough to prevent or limit harm, or may fail to sufficiently remediate an incident. As a result, we may suffer significant legal, reputational, or financial exposure, which could harm our business, financial condition, and operating results. For additional information, see also our risk factor on privacy and data protection regulations under ‘Risks Related to Laws, Regulations, and Policies’ below.",2026-03-16T05:39:25.161684Z,2025-02-05,0.6579,Product Liability,1272,Non-ESG,29.228,GOOG_2025_RISK_038,Risks Related to our Industry,Risks Related to our Industry,GOOG,2026-03-16T05:39:25.161705Z
10,Non-ESG,Human Capital,Human Capital,客服團隊的人力、訓練、裁員與人員缺口是主要風險。,,,2296,1,1802,"Host Damage Protection Program
Our ability to provide high-quality support to our community of Hosts and guests is important for the growth of our business and any failure to maintain such standards of community support, or any perception that we do not provide high-quality service, could affect our ability to retain and attract Hosts and guests. Meeting the community support expectations of our Hosts and guests requires significant time and resources from our community support team and significant investment in staffing, technology, including automation and machine learning to improve efficiency, infrastructure, policies, and community support tools. The failure to develop the appropriate technology, infrastructure, policies, and community support tools, or to manage or properly train our community support team, could compromise our ability to resolve questions and complaints quickly and effectively. The number of our Hosts and guests has grown significantly and such growth, as well as any future growth, will put additional pressure on our community support organization and our technology organization. In addition, as we service a global customer base and continue to grow outside of North America and Europe, we need to be able to provide effective support that meets our Hosts’ and guests’ needs and languages globally at scale. As part of our reduction in force announced in May 2020, we significantly reduced the number of employees in our community support organization and our technology organization, which impacted our ability to provide effective support to our Hosts and guests. Our service is staffed based on complex algorithms that map to our business forecasts. Any volatility in those forecasts could lead to staffing gaps that could impact the quality of our service.",2026-03-16T06:14:41.804445Z,2022-02-25,0.723,Community Relations,1301,Non-ESG,31.139,ABNB_2022_RISK_145,Host Damage Protection Program,Host Damage Protection Program,ABNB,2026-03-16T06:14:41.804454Z
