removal_rank,priority,planned_action,selection_method,review_decision,reviewer_note,annotation_id,annotator,char_count,combined_text,created_at,filing_date,finbert_confidence,finbert_label,id,label,lead_time,paragraph_id,risk_heading,risk_section,split,ticker,updated_at,selection_hash
1,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1699,1,269,"Risks Related to Market Dynamics and Volatility
Our revenues and profitability would be adversely affected by any reduction in AUM as a result of either a decline in market value of such assets or net outflows, which would reduce the investment management fees we earn.",2026-03-13T05:40:10.913600Z,2022-02-18,0.9913,Non-ESG,204,Non-ESG,3.609,IVZ_2022_RISK_004,Risks Related to Market Dynamics and Volatility,Risk Factors,,IVZ,2026-03-13T05:40:10.913616Z,00b3c08c9ce12908261a3b6cb8855e14b608b7d85f05c44c5950d8c967eb5993
2,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1618,1,143,"GENERAL RISKS
Risks associated with future acquisitions may not lead to expected growth and could result in increased costs and inefficiencies.",2026-03-13T03:13:40.798748Z,2022-02-28,0.9909,Non-ESG,123,Non-ESG,26.539,ORLY_2022_RISK_024,GENERAL RISKS,GENERAL RISKS,,ORLY,2026-03-13T03:13:40.798756Z,0145290253a06b992539632038dc7747d71a5f65a96fdcb1a3ba50874e34f622
3,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1901,1,1888,"Government regulations and environmental matters could negatively affect our operations.
We are subject to various local, state and federal statutes, ordinances, rules and regulations concerning zoning, building design, construction and similar matters, including local regulations that impose restrictive zoning and density requirements in order to limit the number of homes that can eventually be built within the boundaries of a particular area. These regulations may further increase the cost to produce and market our products. In addition, we have from time to time been subject to, and may also be subject in the future to, periodic delays in our homebuilding projects due to building moratoriums in the areas in which we operate or delays in receiving the necessary governmental approvals. Changes in regulations that restrict homebuilding activities in one or more of our principal markets could have a material adverse effect on our sales, profitability, stock performance, ability to service our debt obligations and future cash flows. In addition, new housing developments are often subject to various assessments or impact fees for schools, parks, streets, highways and other public improvements. The cost of these assessments is subject to substantial change and could cause increases in the construction cost of our homes, which, in turn, could reduce our profitability. We are also subject to a variety of local, state and federal statutes, ordinances, rules and regulations concerning the protection of health and the environment. We are subject to a variety of environmental conditions that can affect our business and our homebuilding projects. The particular environmental laws that apply to any given homebuilding site vary greatly according to the location and environmental condition of the site and the present and former uses of the site and adjoining properties.",2026-03-14T07:46:21.430771Z,2022-02-16,0.3805,Non-ESG,406,Non-ESG,16.39,NVR_2022_RISK_020,Government regulations and environmental matters could negatively affect our operations.,Regulatory Risk,,NVR,2026-03-14T07:46:21.430785Z,0177c79eb6de6e308a647786580d9c99d805d9048350bade1acbbd85b98e7eae
4,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1746,1,1439,"Risks Related to Our Real Estate Investments and Operations
or joint ventures or additional equity by the Company. The use of equity financing for future developments or acquisitions could dilute the interest of the Company’s existing stockholders. If the Company finances new acquisitions under existing lines of credit, there is a risk that, unless the Company obtains substitute financing, the Company may not be able to undertake additional borrowing for further acquisitions or developments or such borrowing may be not available on advantageous terms. Development and redevelopment activities may be delayed, not completed, and/or not achieve expected results. The Company pursues development and redevelopment projects. The Company defines development projects as new communities that are being constructed or are newly constructed and are in a phase of lease-up and have not yet reached stabilized operations, and redevelopment projects as existing properties owned or recently acquired that have been targeted for additional investment by the Company with the expectation of increased financial returns through property improvement. As of December 31, 2021, the Company had one consolidated development project and one unconsolidated joint venture development project comprised of 371 apartment homes for an estimated cost of $217.0 million, of which $61.0 million remains to be expended, and $32.6 million is the Company's share.",2026-03-13T06:03:35.852775Z,2022-02-25,0.9817,Non-ESG,251,Non-ESG,14.372,ESS_2022_RISK_008,Risks Related to Our Real Estate Investments and Operations,,,ESS,2026-03-13T06:03:35.852797Z,01a98f95e4aec9d8e93afc2ee4179ebdec8997355ad5d0404c9eeb06fabdf17a
5,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1948,1,1964,"Operational Risks
We may incur unexpected costs from increases in fuel and raw material prices, which could reduce our earnings and cash flows. Our primary commodity exposures are for fuel, petroleum-based resins and steel. While we may seek to minimize the impact of price increases through higher prices to customers and various cost-saving measures, our earnings and cash flows could be adversely affected in the event these measures are insufficient to cover our costs. Because we rely heavily on third-party package-delivery services, a significant disruption in these services or significant increases in prices may disrupt our ability to ship products, increase our costs and lower our profitability. We ship a significant portion of our products to our customers through independent package delivery companies, such as Federal Express in the U.S. and DHL in Europe. We also maintain a small fleet of vehicles dedicated to the delivery of our products and ship our products through other carriers, including national and regional trucking firms, overnight carrier services and the U.S. Postal Service. If one or more of these third-party package-delivery providers were to experience a major work stoppage, preventing our products from being delivered in a timely fashion or causing us to incur additional shipping costs we could not pass on to our customers, our costs could increase and our relationships with certain of our customers could be adversely affected. In addition, if one or more of these third-party package-delivery providers were to increase prices, and we were not able to find comparable alternatives or make adjustments in our delivery network, our profitability could be adversely affected. Natural disasters, public health crises, political crises, and other catastrophic events or other events outside of our control may disrupt our facilities or the facilities of third parties on which we depend, and could impact customer spending.",2026-03-14T08:36:56.632278Z,2022-02-24,0.9074,Non-ESG,453,Non-ESG,11.534,TMO_2022_RISK_015,Operational Risks,Operational Risks,,TMO,2026-03-14T08:36:56.632289Z,03b4a22c363ba100d807847cdf0a6dc3714ec6ea4c2884c20827459016817607
6,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1803,1,254,"Legal, Regulatory and Compliance Risks
If we are not able to protect our intellectual property, or successfully defend against any infringement or misappropriation assertions brought against us, our revenue and profitability could be negatively affected.",2026-03-13T06:54:08.537074Z,2022-02-11,0.9774,Non-ESG,308,Non-ESG,9.25,AXP_2022_RISK_071,"Legal, Regulatory and Compliance Risks","Legal, Regulatory and Compliance Risks",,AXP,2026-03-13T06:54:08.537085Z,03b546c02c4ffbdc16041c5f27de3c3c468353573ffdf7a5631bdef24d95fb9f
7,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1862,1,767,"Risks Related to Our Financial Performance and Our Common Stock
•Global economic conditions, including inflation and supply chain disruptions, have adversely affected, and could continue to adversely affect, our operations.•Our operating results and financial condition may fluctuate.•We may not achieve our financial goals.•We have incurred a substantial amount of debt in connection with the Hillrom acquisition.•Changes in foreign currency exchange rates and interest rates could have a material adverse effect on our operating results and liquidity.•Our common stock price has fluctuated significantly and may continue to do so. •Future material impairments in the value of our long-lived assets, including goodwill, could negatively affect our operating results.",2026-03-14T06:46:22.239086Z,2023-02-09,0.9807,Non-ESG,367,Non-ESG,6.618,BAX_2023_RISK_003,Risks Related to Our Financial Performance and Our Common Stock,Risks Related to Our Financial Performance and Our Common Stock,,BAX,2026-03-14T06:46:22.239099Z,0436bf24645b13776e6a4240cf3ce58f7052ab4d80a3ef5e04f74357b6f36e14
8,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1509,1,759,"Strategic and Industry Risks
The market for enterprise applications and platform services is highly competitive, rapidly evolving, fragmented and subject to changing technology, low barriers to entry, shifting customer needs and frequent introductions of new products and services. Many prospective customers have invested substantial personnel and financial resources to implement and integrate their current enterprise software into their businesses and therefore may be reluctant or unwilling to migrate away from their current solution to an enterprise cloud computing application service. Additionally, third-party developers may be reluctant to build application services on our platform since they have invested in other competing technology platforms.",2026-03-11T10:02:09.805051Z,2022-03-11,0.9659,Non-ESG,14,Non-ESG,54.004,CRM_2022_RISK_046,Strategic and Industry Risks,Strategic and Industry Risks,,CRM,2026-03-11T10:02:09.805059Z,057db07f790605c5a54f7b998bba81eacf9f413a35bcf06c03feaf346acb4e73
9,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1572,1,285,"Legal Proceedings
Information in response to this Item 3 can be found in Note 23 of the Notes to Consolidated Financial Statements included in the 2023 Annual Report under the heading, “Litigation and Regulatory Matters.” That information is incorporated into this report by reference.",2026-03-13T02:38:48.812234Z,2024-02-20,0.9768,Non-ESG,77,Non-ESG,4.49,USB_2024_RISK_011,Legal Proceedings,Legal Proceedings,,USB,2026-03-13T02:38:48.812247Z,0691046dc808de906a2c3bc0fa9186b3a42c6a1c1a6e5cc35b095f326920e823
10,primary,REMOVE_TO_KEEP_CHIANG_AT_500,"SHA256(""3407:"" + paragraph_id), ascending; current Non-ESG; excludes disputed 39",,,1963,1,269,"General Risk Factors Affecting Our Businesses
Therefore, Houston Electric may not be able to restore any loss of, or damage to, any of its transmission and distribution properties without negative impact on its financial condition, results of operations and cash flows.",2026-03-14T10:58:27.807677Z,2022-02-22,0.913,Non-ESG,468,Non-ESG,2.152,CNP_2022_RISK_095,General Risk Factors Affecting Our Businesses,Risk Factors Affecting Our Businesses,,CNP,2026-03-14T10:58:27.807685Z,06b15a09cc0cf14c7b03e6c9070b3d4e89f3379f6993b8d112c26b337210d686
