review_rank,original_label,api_consensus_label,codex_suggested_label,dispute_reason,reviewed_label,reviewer_note,annotation_id,annotator,char_count,combined_text,created_at,filing_date,finbert_confidence,finbert_label,id,label,lead_time,paragraph_id,risk_heading,risk_section,split,ticker,updated_at
1,Business Ethics & Values,Corporate Governance,Non-ESG,一般法規遵循為主，未明確落在倫理或公司治理核心定義。,,,1522,1,1849,"REGULATORY RISKS
APS must comply in good faith with all applicable statutes, regulations, rules, tariffs, and orders of agencies that regulate APS’s business, including FERC, NRC, EPA, the ACC, and state and local governmental agencies. These agencies regulate many aspects of APS’s utility operations, including safety and performance, emissions, siting and construction of facilities, customer service and the rates that APS can charge retail and wholesale customers. Failure to comply can subject APS to, among other things, fines and penalties. For example, under the Energy Policy Act of 2005, FERC can impose penalties (approximately $1.2 million per day per violation) for failure to comply with mandatory electric reliability standards. APS is also required to have numerous permits, approvals and certificates from these agencies. APS believes the necessary permits, approvals and certificates have been obtained for its existing operations and that APS’s business is conducted in accordance with applicable laws in all material respects. Changes in laws or regulations that govern APS, new interpretations of law and regulations, or the imposition of new or revised laws or regulations could have an adverse impact on the manner in which we operate our business and our results of operations. In particular, new or revised laws or interpretations of existing laws or regulations may impact or call into question the ACC’s permissive regulatory authority, which may result in uncertainty as to jurisdictional authority within our state, and uncertainty as to whether ACC decisions will be binding or challenged by other agencies or bodies asserting jurisdiction. In November 2021, the Arizona Court of Appeals issued an opinion that called into question the ACC-approved limitation of liability provision found in the APS Service Schedules.",2026-03-11T12:47:49.639371Z,2022-02-25,0.3936,Business Ethics & Values,27,Business Ethics & Values,25.242,PNW_2022_RISK_004,REGULATORY RISKS,REGULATORY RISKS,,PNW,2026-03-11T12:47:49.639382Z
2,Product Liability,Business Ethics & Values,Product Liability,消費者最佳利益屬消費者金融保護，但也涉及受託義務。,,,1548,1,746,"Risks relating to estimates, assumptions and valuations
It requires financial professionals to act in consumers’ best interest when giving personalized investment advice. Notwithstanding the SEC’s Reg BI, which went into effect in 2020, some states may still consider changes to their own insurance and securities laws and/or regulations. In 2020, Massachusetts promulgated regulations imposing a fiduciary duty on broker-dealers and agents and the NAIC adopted best interest enhancements to its existing annuity suitability model. A number of states have adopted the updated NAIC model and many more are poised to take steps in that direction in 2022. Related state fiduciary or “best interest” legislation and/or regulation could occur in 2022.",2026-03-11T12:59:22.912219Z,2022-02-11,0.6801,Business Ethics & Values,53,Product Liability,106.271,PFG_2022_RISK_033,"Risks relating to estimates, assumptions and valuations",Summary of Risk Factors,,PFG,2026-03-11T12:59:22.912230Z
3,Business Ethics & Values,Product Liability,Product Liability,內容混合法律訴訟、食品安全、標示與勞動議題，主題不單一。,,,1560,1,1984,"Legal and Regulatory Risks
The Company’s operations are subject to the general risks of litigation. The Company is involved on an ongoing basis in litigation arising in the ordinary course of business. Trends in litigation may include class actions involving employees, consumers, competitors, suppliers, shareholders, or others, and claims relating to product liability, contract disputes, antitrust regulations, intellectual property, advertising, labeling, wage and hour laws, employment practices or environmental matters. Neither litigation trends nor the outcomes of litigation can be predicted with certainty and adverse litigation trends and outcomes could negatively affect the Company’s financial results. Government regulation, present and future, exposes the Company to potential sanctions and compliance costs that could adversely affect the Company’s business. The Company’s operations are subject to extensive regulation by the U.S. Department of Homeland Security, the U.S. Department of Agriculture, the U.S. Food and Drug Administration, federal and state taxing authorities and other federal, state, and local authorities which oversee workforce immigration, taxation, animal welfare, food safety, and the processing, packaging, storage, distribution, advertising, and labeling of the Company’s products. The Company’s manufacturing facilities and products are subject to ongoing inspection by federal, state and local authorities. Claims or enforcement proceedings could be brought against the Company in the future. The availability of government inspectors due to a government furlough could also cause disruption to the Company’s manufacturing facilities. Additionally, the Company is subject to new or modified laws, regulations, and accounting standards. The Company’s failure or inability to comply with such requirements could subject the Company to civil remedies, including fines, injunctions, recalls or seizures, as well as potential criminal sanctions.",2026-03-11T13:14:53.847542Z,2021-12-10,0.8906,Business Ethics & Values,65,Business Ethics & Values,29.236,HRL_2021_RISK_014,Legal and Regulatory Risks,Legal and Regulatory Risks,,HRL,2026-03-11T13:14:53.847550Z
4,Non-ESG,Corporate Governance,Corporate Governance,單位持有人對資產出售的核准權直接涉及所有權治理。,,,1562,1,260,"Risks Related to the Operating Partnership’s Organization and Ownership of OP Units
In certain circumstances, certain of the Operating Partnership’s unitholders must approve the Operating Partnership’s sale of certain properties contributed by the unitholders.",2026-03-12T08:50:10.619312Z,2022-02-17,0.8895,Non-ESG,67,Non-ESG,45.944,MAA_2022_RISK_078,Risks Related to the Operating Partnership’s Organization and Ownership of OP Units,Tennessee Anti-Takeover Statutes,,MAA,2026-03-12T08:50:10.619323Z
5,Business Ethics & Values,Corporate Governance,Business Ethics & Values,董事兼任造成利益衝突，同時符合倫理與治理邊界。,,,1580,1,163,"Risks Associated with our Macau Operations
Conflicts of interest may arise because certain of our directors and officers are also directors of Wynn Macau, Limited.",2026-03-13T02:42:41.512146Z,2022-02-28,0.7181,Business Ethics & Values,85,Business Ethics & Values,12.283,WYNN_2022_RISK_085,Risks Associated with our Macau Operations,Risks Associated with our Macau Operations,,WYNN,2026-03-13T02:42:41.512157Z
6,Non-ESG,Business Ethics & Values,Business Ethics & Values,段落明確包含詐欺、內控失效與違反倫理標準。,,,1601,1,1955,"We are subject to a variety of operational risks.
In addition to the other risks discussed in this section, we are subject to operational risk, which represents the risk of loss resulting from human error, inadequate or failed internal processes, internal controls, systems, and external events. Operational risk includes the risk of fraud by employees or others outside of Key, clerical and record-keeping errors, nonperformance by vendors, threats from cyber activity, and computer/telecommunications malfunctions. Fraudulent activity has escalated, become more sophisticated, and is ever evolving as there are more options to access financial services. For instance, in our Form 8-K filed July 16, 2019, we disclosed that on or about July 9, 2019, we discovered fraudulent activity associated with transactions conducted in the third quarter of 2019 by a business customer of KeyBank.  This fraudulent activity resulted in $139 million of net loan charge-offs in 2019. Operational risk also encompasses compliance and legal risk, which is the risk of loss from violations of, or noncompliance with, laws, rules, regulations, prescribed practices, or ethical standards, as well as the risk of our noncompliance with contractual and other obligations. We are also exposed to operational risk through our outsourcing arrangements, and the effect that changes in circumstances or capabilities of our outsourcing vendors can have on our ability to continue to perform operational functions necessary to our business, such as certain loan processing functions. For example, breakdowns or failures of our vendors’ systems or employees could be a source of operational risk to us. Resulting losses from operational risk could take the form of explicit charges, increased operational costs (including remediation costs), harm to our reputation, inability to secure insurance, litigation, regulatory intervention or sanctions, or foregone business opportunities.",2026-03-13T02:56:50.506044Z,2022-02-22,0.5053,Business Ethics & Values,106,Non-ESG,244.212,KEY_2022_RISK_013,We are subject to a variety of operational risks.,III.  Operational Risk,,KEY,2026-03-13T02:56:50.506055Z
7,Corporate Governance,Human Capital,Human Capital,核心是關鍵高階人員流失、招募與留任。,,,1613,1,2067,"The loss of the services of Mr. Ralph Lauren or any other changes to our executive and senior management team may be disruptive to, or cause uncertainty in, our business.
Mr. Ralph Lauren's leadership in the design and marketing areas of our business has been a critical element of our success since the inception of our Company. Mr. R. Lauren is instrumental to, and closely identified with, our brand that bears his name. Our ability to maintain our brand image and leverage the goodwill associated with Mr. R. Lauren's name may be damaged if we were to lose his services. The death or disability of Mr. R. Lauren or other extended or permanent loss of his services, or any negative market or industry perception with respect to him or arising from his loss, could have a material adverse effect on our business. We also depend on the service and management experience of other key executive officers and members of senior management who have substantial experience and expertise in our industry and our business and have made significant contributions to our growth and success. Competition in our industry to attract and retain these employees is intense and is influenced by our reputation, our ability to offer competitive compensation and benefits, and economic conditions, among other factors. Any changes in our executive and senior management team, including those resulting from our restructuring actions, may be disruptive to, or cause uncertainty in, our business and future strategic direction. The departure of any key individuals and the failure to ensure a smooth transition and effective transfer of knowledge involving senior employees could hinder or delay our strategic planning and execution, as well as adversely affect our ability to attract and retain other experienced and talented employees. Such departures could also impede our ability to maintain an effective system of internal controls and compliance with the requirements under the Sarbanes-Oxley Act of 2002. Any such disruptions could have a material adverse impact on our business.",2026-03-13T03:12:25.241484Z,2021-05-20,0.9694,Corporate Governance,118,Corporate Governance,31.992,RL_2021_RISK_018,"The loss of the services of Mr. Ralph Lauren or any other changes to our executive and senior management team may be disruptive to, or cause uncertainty in, our business.",Risks Related to our Business and Operations,,RL,2026-03-13T03:12:25.241492Z
8,Non-ESG,Corporate Governance,Corporate Governance,高階主管由董事會任命，較接近治理資訊。,,,1615,1,606,"INFORMATION ABOUT OUR EXECUTIVE OFFICERS
The following description of our executive officers is included as an unnumbered item in this Part I of this Annual Report in lieu of being included in our definitive proxy statement for our annual meeting of stockholders. Set forth below are the name, age, present title, and certain other information for each of our executive officers as of the filing date of this Annual Report. Each executive officer is appointed by our board of directors and holds his or her office until the earlier of his or her death, resignation, retirement, disqualification or removal.",2026-03-13T03:12:56.611986Z,2021-11-19,0.9932,Corporate Governance,120,Non-ESG,18.327,BEN_2021_RISK_075,INFORMATION ABOUT OUR EXECUTIVE OFFICERS,INFORMATION ABOUT OUR EXECUTIVE OFFICERS,,BEN,2026-03-13T03:12:56.611994Z
9,Non-ESG,Product Liability,Product Liability,產品品質影響客戶與品牌，符合產品品質風險。,,,1671,1,231,"Business and Operational Risks
In addition, quality issues can impair our relationships with new or existing customers and adversely affect our brand and reputation, which could, in turn, adversely affect our results of operations.",2026-03-13T04:00:26.814214Z,2022-12-08,0.9817,Non-ESG,176,Non-ESG,12.417,HPE_2022_RISK_031,Business and Operational Risks,Business and Operational Risks,,HPE,2026-03-13T04:00:26.814224Z
10,Non-ESG,Product Liability,Product Liability,產品、原料與包裝品質安全是主要具體風險。,,,1675,1,392,"Risks Related to Our Business and Operations
Our Company’s reputation or brand image might be impacted as a result of issues or concerns relating to the quality and safety of our products, ingredients or packaging, human and workplace rights, and other environmental, social or governance matters, which in turn could result in litigation or otherwise negatively impact our operating results.",2026-03-13T04:02:00.136889Z,2022-02-18,0.5409,Non-ESG,180,Non-ESG,7.149,HSY_2022_RISK_006,Risks Related to Our Business and Operations,Risks Related to Our Business and Operations,,HSY,2026-03-13T04:02:00.136899Z
