"annotation_id","annotator","char_count","combined_text","created_at","filing_date","finbert_confidence","finbert_label","id","label","lead_time","paragraph_id","risk_heading","risk_section","split","ticker","updated_at"
1496,"1",984,"Risks Relating to Retail Operations
If a department store or large nationally recognized tenant were to close its stores at our properties, we may experience difficulty and delay and incur significant expense in re-tenanting the space, as well as in leasing spaces in areas adjacent to the vacant store, at attractive rates, or at all. Additionally, department store or tenant closures may result in decreased customer traffic, which could lead to decreased sales at our properties. If the sales of stores operating in our properties were to decline significantly due to the closing of anchor stores or other national retailers, adverse economic conditions or other reasons, tenants may be unable to pay their minimum rents or expense recovery charges. In the event of any default by a tenant, we may not be able to fully recover, and/or may experience delays and costs in enforcing our rights as landlord to recover, amounts due to us under the terms of our leases with such parties.","2026-03-11T09:41:35.748237Z","2022-02-24",0.986,"Non-ESG",1,"Non-ESG",23.209,"SPG_2022_RISK_015","Risks Relating to Retail Operations","Risks Relating to Retail Operations","","SPG","2026-03-11T09:41:35.748247Z"
1497,"1",1883,"Risks Related to Our Common Stock
Our amended and restated certificate of incorporation and amended and restated bylaws contain, and Delaware law contains, provisions that are intended to deter coercive takeover practices and inadequate takeover bids by making such practices or bids unacceptably expensive to the bidder and to encourage prospective acquirers to negotiate with our Board rather than to attempt a hostile takeover. These provisions include, among others: (a) the ability of our remaining directors to fill vacancies on our Board (except in an instance where a director is removed by stockholders and the resulting vacancy is filled by stockholders); (b) the inability of stockholders to call a special meeting of stockholders; (c) rules regarding how stockholders may present proposals or nominate directors for election at stockholder meetings; and (d) the right of our Board to issue preferred stock without stockholder approval. In addition, we are subject to Section 203 of the Delaware General Corporation Law (“DGCL”), which could have the effect of delaying or preventing a change of control that you may favor. Section 203 provides that, subject to limited exceptions, persons that acquire, or are affiliated with persons that acquire, more than 15% of the outstanding voting stock of a Delaware corporation may not engage in a business combination with that corporation, including by merger, consolidation or acquisitions of additional shares, for a three-year period following the date on which that person or any of its affiliates becomes the holder of more than 15% of the corporation’s outstanding voting stock. We believe these provisions protect our stockholders from coercive or otherwise unfair takeover tactics by requiring potential acquirers to negotiate with our Board and by providing our Board with more time to assess any acquisition proposal.","2026-03-11T09:54:58.067822Z","2022-02-23",0.9939,"Corporate Governance",2,"Corporate Governance",187.851,"TPL_2022_RISK_045","Risks Related to Our Common Stock","Risks Related to Our Common Stock","","TPL","2026-03-11T09:54:58.067834Z"
1498,"1",1830,"Risks Related to Our Indebtedness
Bank National Association, as trustee (the “Trustee”) (the “Indenture”), at a repurchase price equal to 100% of the principal amount of the Convertible Senior Notes to be repurchased, plus accrued and unpaid interest, if any. Although it is our intention, and we currently expect to have the ability, to settle the Convertible Senior Notes in cash, there is a risk that we may not have enough available cash or be able to obtain financing at the time we are required to make repurchases of Convertible Senior Notes surrendered or Convertible Senior Notes being converted. In addition, our ability to make payments may be limited by law, by regulatory authority, or by agreements governing our future indebtedness. Our failure to repurchase Convertible Senior Notes at a time when the repurchase is required by the Indenture or to pay any cash payable on future conversions of the Convertible Senior Notes as required by the Indenture would constitute a default under the Indenture. A default under the Indenture or the fundamental change itself could also lead to a default under agreements governing our other existing or future indebtedness. If the repayment of other indebtedness were to be accelerated after any applicable notice or grace periods, we may not have sufficient funds to repay the other indebtedness and repurchase the Convertible Senior Notes or make cash payments upon conversions thereof. Our ability to make scheduled payments of the principal and interest on our indebtedness when due or to make payments upon conversion or repurchase demands with respect to our Convertible Senior Notes, or to refinance our indebtedness as we may need or desire, depends on our future performance, which is subject to economic, financial, competitive, and other factors beyond our control.","2026-03-11T09:55:29.691189Z","2022-02-23",0.9668,"Non-ESG",3,"Non-ESG",30.796,"TYL_2022_RISK_032","Risks Related to Our Indebtedness","Risks Related to Our Indebtedness","","TYL","2026-03-11T09:55:29.691201Z"
1499,"1",2037,"Legal, Tax, Regulatory, Compliance, and Reputational Risks
Some parts of our business are already subject to the broad scope of the Package Directive, and as our offerings continue to diversify and expand, we may become subject to additional requirements of the Package Directive. Compliance with this directive could be costly and complex or, as a result of these requirements, we could choose to limit offerings that would otherwise be beneficial for the business, any of which could adversely affect our business, results of operations, or ability to grow and compete. Any changes to the Package Directive, including any changes to the scope of the travel services covered, increased levels of consumer protections, or changes to the requirements of financial guarantees could be costly or complex to comply with and may also adversely affect our business, results of operations, or ability to grow and compete in the future. The implementation of unfavorable regulations or unfavorable interpretations of existing regulations by judicial or regulatory bodies could require us to incur significant compliance costs, cause the development of the affected markets to become impractical and otherwise have a material adverse effect on our business and results of operations. For example, in connection with a lawsuit begun in 2015 by the Association of Turkish Travel Agencies, a Turkish court ordered in 2019 that Booking.com must meet certain registration requirements in order to offer Turkish hotels and accommodations to Turkish residents. If Booking.com does not successfully appeal this decision or meet the Turkish registration requirements, Booking.com will be unable to resume offering Turkish hotels and accommodations to Turkish residents, which would continue to negatively impact our results of operations. There can be no assurance that there will not be an adverse outcome to any such litigation or that such an outcome would not result in an adverse impact on our business, financial condition, or results of operations.","2026-03-11T09:58:14.322072Z","2022-02-23",0.4649,"Non-ESG",4,"Business Ethics & Values",163.863,"BKNG_2022_RISK_079","Legal, Tax, Regulatory, Compliance, and Reputational Risks","Industry and Business Risks","","BKNG","2026-03-11T09:58:14.322084Z"
1500,"1",1288,"We face risks relating to cyber attacks that could cause loss of confidential information and other business disruptions.
We rely extensively on information technology systems to process transactions and manage our business, and our business is at risk from and may be impacted by cyber attacks. These could include attempts to gain unauthorized access to our data and computer systems as well as attacks on third party's information technology systems that we rely on to provide important information technology services relating to key business functions, such as payroll. Attacks can be both individual and/or highly organized attempts by very sophisticated hacking organizations. We employ a number of measures to prevent, detect and mitigate these threats, which include password encryption, multi-factor authentication, frequent password change events, firewall detection systems, anti-virus software in-place, frequent backups, a redundant data system for core applications and penetration testing; however, there is no guarantee such efforts will be successful in preventing a cyber attack. A cyber attack could compromise the confidential information of our employees, tenants and vendors. A successful attack could disrupt and otherwise adversely affect our business operations.","2026-03-11T09:58:32.233827Z","2022-02-10",0.8939,"Product Liability",5,"Product Liability",17.149,"FRT_2022_RISK_043","We face risks relating to cyber attacks that could cause loss of confidential information and other business disruptions.","General Risk Factors","","FRT","2026-03-11T09:58:32.233837Z"
1501,"1",263,"Note H, Long-Term Debt and Financing Arrangements
Discontinuation, reform or replacement of the London Inter-bank Offered Rate (""LIBOR"") and other benchmark rates, or uncertainty related to the potential for any of the foregoing, may adversely affect the Company.","2026-03-11T09:58:35.813567Z","2021-02-18",0.9923,"Non-ESG",6,"",182.01999999999998,"SWK_2021_RISK_058","Note H, Long-Term Debt and Financing Arrangements","Financing Risks","","SWK","2026-03-11T12:33:35.751927Z"
1502,"1",1234,"Risks Related to Our Business
and foreign regulatory approval process and requirements related to acquisitions, including the VMware Merger, may cause approvals to take longer than anticipated, not be forthcoming or contain burdensome conditions, which may prevent the transaction or jeopardize, delay or reduce the anticipated benefits of the transaction, and impede the execution of our business strategy. From time to time, we may also seek to divest or wind down portions of our business, either acquired or otherwise, or we may exit minority investments, any of which could materially affect our cash flows and results of operations. Such dispositions involve risks and uncertainties, including our ability to sell such businesses on terms acceptable to us, or at all, disruption to other parts of our business, potential loss of employees or customers, or exposure to unanticipated liabilities or ongoing obligations to us following any such dispositions. In addition, dispositions may include the transfer of technology and/or the licensing of certain IP rights to third-party purchasers, which could limit our ability to utilize such IP rights or assert these rights against such third-party purchasers or other third parties.","2026-03-11T09:58:52.323412Z","2022-12-16",0.9694,"Non-ESG",7,"Non-ESG",15.72,"AVGO_2022_RISK_040","Risks Related to Our Business","Risks Related to Our Business","","AVGO","2026-03-11T09:58:52.323423Z"
1503,"1",3056,"We operate in a rapidly evolving and highly competitive industry, and our business will suffer if we are unable to adequately address potential downward pricing pressures and other factors that may adversely affect our operations and profitability.
These factors include, but are not limited to, the following:



 

•

we compete with other transportation service providers of varying sizes, some of which may have more equipment, a broader global network and brand recognition, a wider range of services, more fully developed information technology systems, greater capital resources or other competitive advantages;



 

•

some of our competitors may reduce their prices to gain business, especially during times of reduced growth rates in the economy, which may limit our ability to maintain or increase prices or maintain revenue;



 

•

we may be unable to continue to collect fuel surcharges or our fuel surcharge program may become ineffective in mitigating the impact of the fluctuating costs of fuel and other petroleum-based products;



 

•

many customers reduce the number of carriers they use by selecting “core carriers” as approved transportation service providers and we may not be selected;



 

•

many customers periodically accept bids from multiple carriers for their shipping needs, and this process may depress prices or result in the loss of some business to competitors;



 

•

some shippers may choose to acquire their own trucking fleet or may choose to increase the volume of freight they transport if they have an existing trucking fleet;



 

•

some customers may choose to consolidate certain LTL shipments through a different mode of transportation, such as truckload, intermodal or rail;



 

•

some customers may perceive our environmental, social and governance (“ESG”) profile to be less robust than that of our competitors, which could influence the selection of their carrier;



 

•

our customers may manage their inventory levels more closely to a “just-in-time” basis, which may increase our costs and adversely affect our ability to meet our customers’ needs;



 

•

consolidation in the ground transportation industry may create other large carriers with greater financial resources and other competitive advantages relating to their size;



 

•

advances in technology require increased investments to remain competitive, technological transitions may cause operational challenges and our customers may not be willing to accept higher prices to cover the cost of these investments;



 

•

large transportation and e-commerce companies are making significant investments in their capabilities to compete with us;



 

•

competition from non-asset-based logistics and freight brokerage companies may adversely affect our customer relationships and ability to maintain sufficient pricing; and



 

•

our existing or future competitors may adopt emerging or additional technologies that improve their operating effectiveness, which could negatively affect our ability to remain competitive.","2026-03-11T09:59:10.914936Z","2022-02-23",0.9699,"Non-ESG",8,"Non-ESG",17.809,"ODFL_2022_RISK_018","We operate in a rapidly evolving and highly competitive industry, and our business will suffer if we are unable to adequately address potential downward pricing pressures and other factors that may adversely affect our operations and profitability.","Risks Related to our Industry","","ODFL","2026-03-11T09:59:10.914953Z"
1504,"1",182,"Business and Operational Risks
Breaches of data security and the failure to protect our information technology systems from cybersecurity threats could adversely impact our business.","2026-03-11T09:59:15.686750Z","2022-02-28",0.7462,"Product Liability",9,"Product Liability",3.968,"CDW_2022_RISK_015","Business and Operational Risks","Business and Operational Risks","","CDW","2026-03-11T09:59:15.686761Z"
1505,"1",2008,"General Risk Factors
We may also be required to incur significant costs to protect against damages caused by information technology failures, security breaches, and the failure to satisfy privacy and data protection laws and regulations in the future as legal requirements continue to increase. The European Union and other international regulators, as well as state governments, have recently enacted or enhanced data privacy regulations, such as the California Consumer Privacy Act, and other governments are considering establishing similar or stronger protections. These regulations impose certain obligations for handling specified personal information in our systems, and for apprising individuals of the information we have collected about them. We have incurred costs in an effort to comply with these requirements, and our costs may increase significantly if new requirements are enacted and based on how individuals exercise their rights. Any noncompliance could result in our incurring substantial penalties and reputational damage, and also could result in litigation. We provide employee awareness training of cybersecurity threats and routinely utilize information technology security experts to assist us in our evaluations of the effectiveness of the security of our information technology systems, and we regularly enhance our security measures to protect our systems and data. Our increased use of remote work environments and virtual platforms in response to the COVID-19 pandemic may also increase our risk of cyber-attack or data security breaches. We use various encryption, tokenization and authentication technologies to mitigate cybersecurity risks and have increased our monitoring capabilities to enhance early detection and rapid response to potential cyber threats. However, because the techniques used to obtain unauthorized access, disable or degrade systems change frequently and are increasing in sophistication, they often are not recognized until launched against a target.","2026-03-11T09:59:28.600959Z","2021-11-18",0.9295,"Product Liability",10,"Product Liability",12.155,"DHI_2021_RISK_063","General Risk Factors","General Risk Factors","","DHI","2026-03-11T09:59:28.600967Z"
1506,"1",1696,"Risks Related to the Operation of Our Business
As techniques used to breach security grow in frequency and sophistication, and are generally not recognized until launched against a target, we, or our vendors, may not be able to promptly detect that a cyber breach has occurred or implement security measures in a timely manner. If and when implemented, we, or our vendors, may not be able to determine the extent to which these measures could be circumvented. Any breaches that may occur could expose us to increased risk of lawsuits, regulatory penalties, loss of existing or potential customers, damage relating to loss of proprietary information, harm to our reputation and increases in our security costs, which could have a material adverse effect on our financial performance and operating results. We offer managed services in certain of our data centers where we provide “smart hands” services for our customers. The access to our customers’ networks and data, which is gained from these services, creates some risk that our customers’ networks or data will be improperly accessed. If we were held responsible for any such breach, it could result in a significant loss to us, including damage to our customer relationships, harm to our brand and reputation and legal liability. Additionally, while we maintain insurance coverage for cybersecurity incidents, we may not have adequate insurance to cover the associated costs in the event of a breach resulting in loss of data, such as personally identifiable information or other such data protected by data privacy or other laws, and we may be liable for damages, fines and penalties for such losses under applicable regulatory frameworks.","2026-03-11T10:00:30.716562Z","2022-02-25",0.8936,"Product Liability",11,"Product Liability",60.992,"AMT_2022_RISK_051","Risks Related to the Operation of Our Business","Risks Related to Laws and Regulations","","AMT","2026-03-11T10:00:30.716574Z"
1507,"1",457,"Risks Relating to Our Business
If we fail to effectively implement our operational and strategic initiatives, including our Medicare initiatives and our state-based contracts strategy, our business may be materially adversely affected, which is of particular importance given the concentration of our revenues in these products. In addition, there can be no assurances that we will be successful in maintaining or improving our Star ratings in future years.","2026-03-11T10:00:39.133208Z","2022-02-17",0.9818,"Non-ESG",12,"Non-ESG",7.718,"HUM_2022_RISK_006","Risks Relating to Our Business","Risks Relating to Our Business","","HUM","2026-03-11T10:00:39.133219Z"
1508,"1",1954,"Risks Related to Government Regulations
There has been, and likely will continue to be, increased regulation with respect to the collection, use and handling of an individual’s personal and financial information. Regulatory authorities around the world have passed or are considering legislative and regulatory proposals concerning data protection, privacy and data security. In the United States, Virginia and Colorado passed new comprehensive privacy legislation, and joined California (which further enhanced its existing privacy laws) in directly regulating the collection, use and sharing of personal information. These statutes create civil penalties for violations, and in the case of California, creates a private right of action for data breaches, that increases the risk of data breach litigation. Absent a pre-emptive Federal privacy law, as more states pass privacy legislation, there is a strong possibility that we will be forced to comply with a patchwork of inconsistent privacy regulations. Globally, personal information collected within the European Union and United Kingdom remains subject to the 2018 General Data Protection Regulation (GDPR), which is a UK and European Union-wide legal framework that governs data collection, use, and sharing of an individual’s personal data and creates a range of consumer privacy rights. GDPR provides significant penalties for non-compliance (up to 4% of global revenue) and EU data protection authorities have already issued significant fines. Similarly, in November 2021, China promulgated the Personal Information Protection Law (PIPL) which regulates the processing of personal information of individuals within China. If a company breaches PIPL it can be assessed fines of up 5% of its annual revenue. The interpretation and application of consumer and data protection laws and industry standards in the United States, Europe, China and elsewhere can be uncertain and currently is in flux.","2026-03-11T10:01:15.155156Z","2022-02-22",0.9421,"Product Liability",13,"Product Liability",35.353,"ROP_2022_RISK_031","Risks Related to Government Regulations","Risks Related to Government Regulations","","ROP","2026-03-11T10:01:15.155166Z"
1509,"1",759,"Strategic and Industry Risks
The market for enterprise applications and platform services is highly competitive, rapidly evolving, fragmented and subject to changing technology, low barriers to entry, shifting customer needs and frequent introductions of new products and services. Many prospective customers have invested substantial personnel and financial resources to implement and integrate their current enterprise software into their businesses and therefore may be reluctant or unwilling to migrate away from their current solution to an enterprise cloud computing application service. Additionally, third-party developers may be reluctant to build application services on our platform since they have invested in other competing technology platforms.","2026-03-11T10:02:09.805051Z","2022-03-11",0.9659,"Non-ESG",14,"Non-ESG",54.004,"CRM_2022_RISK_046","Strategic and Industry Risks","Strategic and Industry Risks","","CRM","2026-03-11T10:02:09.805059Z"
1510,"1",1899,"The IT systems that we rely on may be subject to unauthorized tampering, cyberattack or other security breach.
Our IT systems have been and are subject to potential cyberattacks, tampering or other security breaches. These attacks, if successful, could result in shutdowns or significant disruptions of our IT systems and/or in unauthorized persons exfiltrating and misappropriating intellectual property and other confidential information, including patient and employee data that we collect, transmit and store on and through our IT systems. External actors may develop and deploy viruses, other malicious software programs, ransomware attacks, distributed denial of service attacks or other attempts to harm or obtain unauthorized access to our systems. External actors may also deploy programs targeting our employees which are designed to attack our IT systems or otherwise exploit security vulnerabilities through programs such as electronic spamming, phishing, smishing, spear phishing or similar tactics. As a result of the difficulty in detecting many of these attacks, intrusions and breaches, failures or losses may be repeated or compounded before they are discovered or rectified, which could further increase these costs and consequences. Although the Company has robust security measures implemented, which are monitored and routinely tested both by internal resources and external parties, cyber threats against us continue to evolve and may not be recognized until after an incident. In August 2021, ReproSource, our subsidiary, experienced a data security incident in which an unauthorized party may have accessed or acquired protected health information and personally identifiable information of ReproSource patients (in connection with the incident, ReproSource discovered and contained ransomware). The Company’s other systems were not impacted or compromised by this incident.","2026-03-11T10:02:39.608861Z","2022-02-28",0.9475,"Product Liability",15,"Product Liability",29.13,"DGX_2022_RISK_025","The IT systems that we rely on may be subject to unauthorized tampering, cyberattack or other security breach.","RISKS RELATED TO OUR OPERATIONS","","DGX","2026-03-11T10:02:39.608871Z"
1511,"1",1476,"Risks Related to Operating our Business
The business of developing and operating oil and gas properties involves a high degree of business and financial risk that even a combination of experience, knowledge and careful evaluation may not be able to overcome.  Acquisition and development decisions generally are based on subjective judgments and assumptions that, while they may be reasonable, are by their nature speculative.  It is impossible to predict with certainty the production potential of a particular property or well.  Furthermore, the successful completion of a well does not ensure a profitable return on the investment.  A variety of geological, operational and market-related factors, including, but not limited to, unusual or unexpected geological formations, pressures, equipment failures or accidents, fires, explosions, blowouts, cratering, pollution and other environmental risks, shortages or delays in the availability of drilling rigs and the delivery of equipment, loss of circulation of drilling fluids or other conditions, may substantially delay or prevent completion of any well or otherwise prevent a property or well from being profitable.  A productive well may become uneconomic in the event water or other deleterious substances are encountered, which impair or prevent the production of oil and/or gas from the well.  In addition, production from any well may be unmarketable if it is contaminated with water or other deleterious substances.","2026-03-11T10:02:57.625945Z","2022-02-07",0.7598,"Pollution & Waste",16,"Pollution & Waste",17.367,"KMI_2022_RISK_023","Risks Related to Operating our Business","Risks Related to Operating our Business","","KMI","2026-03-11T10:02:57.625969Z"
